ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
194,440,263020,6212,263020
194,440,264020,6212,264020
194,440,264250,6212,264250
195,444,264900,6212,264900
195,444,264900,6212,264900
195,444,265550,6212,265550
195,444,266550,6212,266550
195,444,266550,6212,266550
195,444,267550,6212,267550
195,444,268550,6212,268550
196,446,269360,6212,269360
196,446,270170,6212,270170
197,450,270640,6212,270640
197,450,271110,6212,271110
198,452,271920,6212,271920
198,452,272920,6212,272920
198,452,273570,6212,273570
198,452,274570,6212,274570
198,452,275040,6212,275040
199,456,275510,6212,275510
200,458,276320,6212,276320
200,458,277320,6212,277320
201,460,278130,6212,278130
201,460,278130,6212,278130
201,460,279130,6212,279130
201,460,280130,6212,280130
201,460,280600,6212,280600
201,460,281070,6212,281070
201,460,281070,6212,281070
201,460,281230,6212,281230
201,460,282230,6212,282230
201,460,282230,6212,282230
202,462,283230,6212,283230
202,462,284230,6212,284230
202,462,284550,6212,284550
203,464,285550,6212,285550
203,464,286550,6212,286550
204,466,287360,6212,287360
204,466,288360,6212,288360
205,468,288830,6212,288830
205,468,289640,6212,289640
205,468,290110,6212,290110
206,470,291110,6212,291110
206,470,291270,6212,291270
206,470,292270,6212,292270
207,472,293270,6212,293270
207,472,294270,6212,294270
208,474,295270,6212,295270
208,474,295380,6212,295380
208,474,295380,6212,295380
208,474,296380,6212,296380
208,474,296610,6212,296610
208,474,296610,6212,296610
209,476,297420,6212,297420
209,476,298010,6212,298010
210,480,298470,6212,298470
210,480,299470,6212,299470
210,480,300470,6212,300470
210,480,301280,6212,301280
211,482,302090,6212,302090
211,482,302740,6212,302740
212,484,303740,6212,303740
212,484,304060,6212,304060
212,484,304280,6212,304280
212,484,304280,6212,304280
212,484,304740,6212,304740
212,484,304740,6212,304740
212,484,304960,6212,304960
213,486,305510,6212,305510
213,486,306320,6212,306320
213,486,306320,6212,306320
214,488,307130,6212,307130
214,488,307940,6212,307940
214,488,307940,6212,307940
215,490,308940,6212,308940
215,490,309410,6212,309410
215,490,309880,6212,309880
216,492,310880,6212,310880
216,492,311350,6212,311350
216,492,311350,6212,311350
216,492,312160,6212,312160
216,492,312160,6212,312160
217,494,313160,6212,313160
217,494,313810,6212,313810
218,496,314620,6212,314620
218,496,315090,6212,315090
219,498,315900,6212,315900
219,498,316370,6212,316370
219,498,317370,6212,317370
220,500,318370,6212,318370
220,500,319180,6212,319180
221,502,320180,6212,320180
221,502,321180,6212,321180
222,504,322180,6212,322180
222,504,322730,6212,322730
222,504,322730,6212,322730
223,506,323730,6212,323730
223,506,324200,6212,324200
223,506,324520,6212,324520
224,508,325520,6212,325520
224,508,326520,6212,326520
225,510,327520,6212,327520
225,510,327520,6212,327520
225,510,327890,6212,327890
225,510,328890,6212,328890
226,512,329890,6212,329890
226,512,329890,6212,329890
226,512,330890,6212,330890
226,512,330890,6212,330890
227,514,331700,6212,331700
227,514,332290,6212,332290
228,516,333100,6212,333100
228,516,333910,6212,333910
229,518,334910,6212,334910
229,518,335230,6212,335230
229,518,336230,6212,336230
229,518,336230,6212,336230
229,518,336230,6212,336230
230,520,337230,6212,337230
230,520,338230,6212,338230
231,522,339230,6212,339230
231,522,339550,6212,339550
231,522,340100,6212,340100
232,524,341100,6212,341100
232,524,342100,6212,342100
233,526,343100,6212,343100
233,526,343910,6212,343910
234,528,344720,6212,344720
234,528,344720,6212,344720
234,528,345190,6212,345190
234,528,346190,6212,346190
234,528,346510,6212,346510
235,530,347510,6212,347510
235,530,347980,6212,347980
236,532,348790,6212,348790
236,532,349790,6212,349790
237,534,350600,6212,350600
237,534,351600,6212,351600
238,536,352410,6212,352410
238,536,352730,6212,352730
238,536,352960,6212,352960
238,536,353610,6212,353610
239,538,354610,6212,354610
239,538,355420,6212,355420
239,538,355420,6212,355420
240,540,356420,6212,356420
240,540,357420,6212,357420
241,542,358420,6212,358420
241,542,358580,6212,358580
241,542,359230,6212,359230
241,542,359230,6212,359230
242,544,360040,6212,360040
242,544,360630,6212,360630
243,546,361630,6212,361630
243,546,362440,6212,362440
243,546,362910,6212,362910
244,548,363910,6212,363910
244,548,364910,6212,364910
245,550,365910,6212,365910
245,550,366380,6212,366380
246,552,367380,6212,367380
246,552,367850,6212,367850
246,552,368850,6212,368850
246,552,369170,6212,369170
246,552,369170,6212,369170
247,554,370170,6212,370170
247,554,370170,6212,370170
247,554,370170,6212,370170
247,554,371170,6212,371170
248,556,372170,6212,372170
248,556,373170,6212,373170
248,556,373170,6212,373170
249,558,373980,6212,373980
249,558,374450,6212,374450
250,560,375450,6212,375450
250,560,376450,6212,376450
251,562,377450,6212,377450
251,562,378450,6212,378450
251,562,378770,6212,378770
251,562,378770,6212,378770
252,564,379770,6212,379770
252,564,380580,6212,380580
253,566,381580,6212,381580
253,566,381810,6212,381810
253,566,382810,6212,382810
254,568,383620,6212,383620
255,572,383850,6212,383850
255,572,384850,6212,384850
255,572,385400,6212,385400
255,572,386400,6212,386400
255,572,386630,6212,386630
255,572,387630,6212,387630
255,572,387630,6212,387630
255,572,387860,6212,387860
256,574,388860,6212,388860
256,574,389670,6212,389670
256,574,389670,6212,389670
257,576,390480,6212,390480
257,576,391480,6212,391480
258,578,392290,6212,392290
258,578,393290,6212,393290
259,580,394290,6212,394290
259,580,395290,6212,395290
259,580,395290,6212,395290
259,580,395290,6212,395290
259,580,395660,6212,395660
259,580,395660,6212,395660
259,580,395660,6212,395660
260,582,396660,6212,396660
260,582,397660,6212,397660
261,584,398660,6212,398660
261,584,399210,6212,399210
262,586,400210,6212,400210
262,586,400680,6212,400680
262,586,401150,6212,401150
263,588,402150,6212,402150
263,588,402470,6212,402470
263,588,403470,6212,403470
264,590,404470,6212,404470
264,590,405020,6212,405020
264,590,405020,6212,405020
265,592,405830,6212,405830
265,592,406380,6212,406380
266,594,407380,6212,407380
266,594,408380,6212,408380
266,594,408380,6212,408380
267,596,409380,6212,409380
267,596,410190,6212,410190
268,598,411190,6212,411190
268,598,411190,6212,411190
268,598,411510,6212,411510
268,598,411510,6212,411510
269,606,419510,6212,419510
269,606,419510,6212,419510
269,606,420510,6212,420510
270,608,421510,6212,421510
270,608,421510,6212,421510
270,608,421510,6212,421510
270,608,422510,6212,422510
271,610,423510,6212,423510
271,610,424320,6212,424320
272,612,424970,6212,424970
272,612,425970,6212,425970
272,612,426440,6212,426440
273,614,427250,6212,427250
273,614,427840,6212,427840
274,616,428840,6212,428840
274,616,429130,6212,429130
274,616,429130,6212,429130
274,616,429130,6212,429130
274,616,429600,6212,429600
275,618,430250,6212,430250
275,618,430620,6212,430620
275,618,430940,6212,430940
275,618,431940,6212,431940
275,618,431940,6212,431940
275,618,432410,6212,432410
276,622,432880,6212,432880
276,622,433110,6212,433110
276,622,434110,6212,434110
276,622,435110,6212,435110
276,622,435580,6212,435580
277,624,436580,6212,436580
277,624,437580,6212,437580
278,626,438390,6212,438390
278,626,439390,6212,439390
278,626,439860,6212,439860
278,626,440020,6212,440020
279,628,441020,6212,441020
279,628,442020,6212,442020
280,632,442490,6212,442490
281,634,443490,6212,443490
281,634,444140,6212,444140
281,634,445140,6212,445140
281,634,445790,6212,445790
281,634,445790,6212,445790
281,634,446600,6212,446600
281,634,446920,6212,446920
282,636,447920,6212,447920
282,636,448150,6212,448150
282,636,449150,6212,449150
283,638,450150,6212,450150
283,638,450620,6212,450620
283,638,450730,6212,450730
283,638,450730,6212,450730
283,638,451200,6212,451200
284,640,452200,6212,452200
284,640,452570,6212,452570
284,640,452570,6212,452570
284,640,453030,6212,453030
284,640,453030,6212,453030
285,642,454030,6212,454030
285,642,454030,6212,454030
285,642,454840,6212,454840
286,644,455650,6212,455650
286,644,456460,6212,456460
287,646,457460,6212,457460
287,646,458460,6212,458460
288,648,459460,6212,459460
288,648,459460,6212,459460
288,648,460270,6212,460270
289,650,461270,6212,461270
289,650,461920,6212,461920
289,650,462240,6212,462240
290,658,470240,6212,470240
291,660,471240,6212,471240
291,660,472240,6212,472240
292,662,473240,6212,473240
292,662,474050,6212,474050
292,662,474050,6212,474050
292,662,474050,6212,474050
293,664,475050,6212,475050
293,664,476050,6212,476050
294,666,477050,6212,477050
294,666,477520,6212,477520
294,666,478520,6212,478520
295,668,479520,6212,479520
295,668,480520,6212,480520
296,670,481520,6212,481520
296,670,481980,6212,481980
297,672,482790,6212,482790
297,672,483790,6212,483790
298,674,484600,6212,484600
298,674,484650,6212,484650
298,674,485090,6212,485090
298,674,485680,6212,485680
299,676,486490,6212,486490
299,676,487490,6212,487490
299,676,487490,6212,487490
300,678,488490,6212,488490
300,678,488600,6212,488600
300,678,488920,6212,488920
300,678,489730,6212,489730
301,680,490540,6212,490540
302,684,491010,6212,491010
302,684,492010,6212,492010
302,684,493010,6212,493010
302,684,493660,6212,493660
302,684,493980,6212,493980
302,684,494450,6212,494450
302,684,495260,6212,495260
302,684,495580,6212,495580
303,686,496040,6212,496040
303,686,497040,6212,497040
304,688,498040,6212,498040
304,688,498850,6212,498850
305,690,499850,6212,499850
305,690,500850,6212,500850
305,690,500850,6212,500850
306,692,501850,6212,501850
306,692,502850,6212,502850
307,694,503850,6212,503850
307,694,504320,6212,504320
307,694,504970,6212,504970
308,696,505780,6212,505780
308,696,506780,6212,506780
309,698,507590,6212,507590
309,698,508590,6212,508590
310,700,509400,6212,509400
310,700,510400,6212,510400
310,700,510400,6212,510400
311,704,510950,6212,510950
312,706,511540,6212,511540
312,706,512540,6212,512540
313,708,513130,6212,513130
313,708,513600,6212,513600
313,708,513830,6212,513830
313,708,514150,6212,514150
313,708,514470,6212,514470
314,710,515280,6212,515280
314,710,515280,6212,515280
314,710,515280,6212,515280
314,710,515830,6212,515830
314,710,516300,6212,516300
315,712,517110,6212,517110
315,712,518110,6212,518110
315,712,519110,6212,519110
315,712,519110,6212,519110
315,712,519760,6212,519760
315,712,519760,6212,519760
315,712,520760,6212,520760
315,712,520760,6212,520760
316,714,521570,6212,521570
316,714,522570,6212,522570
317,716,523040,6212,523040
317,716,524040,6212,524040
317,716,524200,6212,524200
318,718,524850,6212,524850
318,718,525660,6212,525660
319,720,526310,6212,526310
319,720,526680,6212,526680
319,720,527680,6212,527680
320,722,528330,6212,528330
320,722,529330,6212,529330
320,722,529550,6212,529550
321,724,530360,6212,530360
321,724,531360,6212,531360
322,726,532170,6212,532170
322,726,532640,6212,532640
322,726,532640,6212,532640
322,726,533640,6212,533640
323,728,534640,6212,534640
323,728,535110,6212,535110
324,730,536110,6212,536110
324,730,536920,6212,536920
325,732,537920,6212,537920
325,732,538920,6212,538920
325,732,538920,6212,538920
326,734,539730,6212,539730
326,734,540730,6212,540730
326,734,541050,6212,541050
327,736,542050,6212,542050
327,736,542860,6212,542860
327,736,543230,6212,543230
328,738,544040,6212,544040
328,738,544850,6212,544850
329,740,546850,6212,546850
329,740,546850,6212,546850
330,742,547850,6212,547850
330,742,548850,6212,548850
331,744,549850,6212,549850
331,744,550660,6212,550660
331,744,551130,6212,551130
331,744,551450,6212,551450
332,746,552260,6212,552260
332,746,552720,6212,552720
333,748,553720,6212,553720
333,748,554190,6212,554190
333,748,554840,6212,554840
333,748,554840,6212,554840
334,750,555650,6212,555650
335,754,556120,6212,556120
335,754,556590,6212,556590
335,754,557590,6212,557590
335,754,558590,6212,558590
335,754,558590,6212,558590
335,754,558590,6212,558590
335,754,559400,6212,559400
335,754,560050,6212,560050
336,756,561050,6212,561050
336,756,562050,6212,562050
337,758,562860,6212,562860
337,758,563330,6212,563330
338,760,564330,6212,564330
338,760,565140,6212,565140
339,762,566140,6212,566140
339,762,567140,6212,567140
340,764,568140,6212,568140
340,764,568460,6212,568460
340,764,569110,6212,569110
341,766,569660,6212,569660
341,766,570250,6212,570250
342,768,571250,6212,571250
342,768,572250,6212,572250
342,768,572250,6212,572250
342,768,572250,6212,572250
342,768,572250,6212,572250
343,770,573250,6212,573250
343,770,573720,6212,573720
343,770,574190,6212,574190
344,772,575190,6212,575190
344,772,575660,6212,575660
344,772,576130,6212,576130
345,774,576940,6212,576940
345,774,576940,6212,576940
345,774,577410,6212,577410
345,774,577520,6212,577520
345,774,578520,6212,578520
346,776,579330,6212,579330
346,776,580330,6212,580330
347,778,581330,6212,581330
347,778,582330,6212,582330
348,780,583330,6212,583330
348,780,584330,6212,584330
348,780,584330,6212,584330
348,780,584330,6212,584330
349,782,584800,6212,584800
349,782,585270,6212,585270
349,782,585920,6212,585920
