ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d70f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d70f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d70f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d70f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d70f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
2147200.18,36.39,0.97,213344.13,3.62
2146955.34,36.39,0.97,213294.98,3.62
2146955.34,36.39,0.97,213271.03,3.61
2146967.73,36.39,0.97,213328.3,3.62
2147165.18,36.39,0.98,214016.23,3.63
2146920.35,36.4,0.98,214012.87,3.63
2146863.64,36.4,0.98,214110.23,3.63
2146863.64,36.4,0.98,214086.95,3.63
2146304.53,36.4,0.98,213310.11,3.62
2146111.84,36.39,0.97,213065.91,3.61
2145753.55,36.4,0.97,212402.21,3.6
2145696.85,36.4,0.98,212575.27,3.61
2145264.22,36.4,0.98,212345.29,3.6
2144901.93,36.39,0.97,211932.01,3.6
2144341.79,36.39,0.97,211464.65,3.59
2144285.09,36.39,0.97,211562.01,3.59
2144364.86,36.4,0.97,211834.65,3.6
2144120.03,36.4,0.97,211785.5,3.6
2143897.8,36.4,0.97,211622.68,3.59
2143652.97,36.4,0.97,211619.33,3.59
2143408.13,36.4,0.97,211570.18,3.59
2143163.29,36.41,0.97,211566.83,3.59
2143074.75,36.41,0.98,211807.41,3.6
2143264.01,36.42,0.98,211864.32,3.6
2142889.91,36.41,0.98,211758.46,3.6
2143099.0,36.42,0.99,211864.79,3.6
2142854.16,36.42,0.99,211815.93,3.6
2142511.24,36.42,0.99,211819.29,3.6
2142720.32,36.43,1.0,211925.61,3.6
2142435.17,36.43,0.99,211607.06,3.6
2142190.33,36.43,0.99,211603.42,3.6
2142133.63,36.44,1.0,211841.26,3.6
2141963.72,36.44,1.0,211407.71,3.6
2141593.95,36.44,1.0,211435.05,3.6
2141224.18,36.44,1.0,211392.29,3.6
2140854.41,36.44,1.0,211373.27,3.6
2140610.16,36.44,1.0,211280.01,3.6
2140440.26,36.44,1.0,210846.46,3.59
2140070.48,36.44,1.0,210842.12,3.59
2140169.47,36.45,1.01,211102.0,3.6
2139924.64,36.45,1.01,211053.0,3.59
2139939.09,36.45,1.01,211045.83,3.59
2139939.09,36.45,1.01,214586.49,3.66
2139569.32,36.45,1.01,214739.06,3.66
2139569.32,36.45,1.01,214739.06,3.66
2139324.48,36.45,1.01,214735.57,3.66
2139324.48,36.45,1.01,214735.57,3.66
2139154.58,36.45,1.01,214302.01,3.65
2138784.8,36.45,1.01,214248.12,3.65
2138579.97,36.45,1.01,214106.83,3.65
2138210.2,36.45,1.01,213998.09,3.65
2137965.96,36.45,1.01,213904.83,3.65
2137909.25,36.46,1.01,214002.18,3.65
2137936.1,36.46,1.01,214011.54,3.65
2137691.26,36.46,1.01,213962.68,3.65
2137366.65,36.46,1.01,213723.65,3.65
2137195.51,36.46,1.01,214548.93,3.66
2136950.67,36.46,1.01,214545.29,3.66
2137486.55,36.47,1.02,216766.98,3.7
2137167.74,36.47,1.02,216448.16,3.69
2136922.9,36.47,1.02,216399.38,3.69
2136678.06,36.47,1.02,216395.66,3.69
2136678.06,36.47,1.02,216395.66,3.69
2137314.61,36.49,1.04,216699.74,3.7
2137069.78,36.49,1.04,216650.88,3.7
2137013.07,36.49,1.04,216823.93,3.7
2136768.24,36.5,1.04,216820.29,3.7
2136768.24,36.5,1.04,216801.92,3.7
2136523.4,36.5,1.04,216752.77,3.7
2136278.56,36.5,1.04,216749.42,3.7
2136033.72,36.5,1.04,216700.55,3.7
2136222.98,36.51,1.04,216757.47,3.7
2135978.15,36.51,1.04,216753.83,3.7
2135733.31,36.51,1.04,216760.62,3.71
2135676.61,36.52,1.05,217129.12,3.71
2135619.91,36.52,1.05,217226.48,3.71
2135375.07,36.52,1.05,217167.19,3.71
2137873.78,36.57,1.09,217066.61,3.71
2142915.6,36.65,1.18,225030.15,3.85
2142670.76,36.65,1.18,225036.93,3.85
2142526.52,36.65,1.18,225024.34,3.85
2142281.68,36.65,1.18,224965.05,3.85
