ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
1770327.4,29.29,0.73,217777.3,3.6
1770110.36,29.29,0.73,217659.89,3.6
1769894.87,29.3,0.73,217596.63,3.6
1769677.82,29.3,0.73,217591.09,3.6
1769462.33,29.3,0.73,217527.83,3.6
1769677.22,29.3,0.74,217841.65,3.61
1769460.18,29.31,0.74,217836.11,3.61
1769244.69,29.31,0.74,217772.6,3.61
1768872.75,29.3,0.73,217535.23,3.6
1768655.7,29.3,0.73,217529.93,3.6
1768440.21,29.31,0.73,217522.57,3.6
1768334.32,29.31,0.73,217086.18,3.6
1768117.28,29.31,0.73,217024.74,3.6
1768239.3,29.31,0.74,217217.32,3.6
1767477.78,29.31,0.73,216504.21,3.59
1767262.28,29.31,0.73,216496.85,3.59
1767045.24,29.31,0.73,216435.41,3.59
1766777.07,29.31,0.73,216439.24,3.59
1766478.94,29.31,0.73,216405.94,3.59
1766703.53,29.31,0.74,216345.29,3.59
1766405.4,29.31,0.74,216374.5,3.59
1766435.36,29.31,0.74,216386.75,3.59
1766512.31,29.32,0.74,216214.87,3.59
1766214.18,29.32,0.74,216198.22,3.59
1765918.38,29.32,0.74,216177.47,3.59
1765623.78,29.32,0.74,215961.35,3.59
1765594.7,29.32,0.74,216563.1,3.6
1765488.81,29.32,0.75,216126.7,3.59
1765688.28,29.33,0.75,216065.57,3.59
1765318.19,29.33,0.75,215676.6,3.58
1765318.19,29.33,0.75,215676.6,3.58
1765098.56,29.32,0.74,215479.56,3.58
1765254.6,29.33,0.75,215722.15,3.58
1765061.94,29.33,0.75,215978.46,3.59
1764763.04,29.33,0.75,216088.81,3.59
1764733.96,29.33,0.75,216171.68,3.59
1764435.83,29.33,0.75,216152.14,3.59
1764408.3,29.33,0.75,216248.27,3.59
1764414.5,29.33,0.75,216262.3,3.6
1764629.39,29.34,0.76,216576.13,3.6
1764329.72,29.34,0.76,216470.42,3.6
1764389.63,29.34,0.76,216234.09,3.6
1764362.1,29.35,0.77,216330.22,3.6
1764146.6,29.35,0.77,216266.78,3.6
1763416.84,29.34,0.76,215589.31,3.59
1763044.9,29.34,0.75,215351.94,3.58
1762827.86,29.34,0.75,215346.58,3.58
1762798.78,29.34,0.76,215504.53,3.59
1762530.61,29.34,0.76,215501.1,3.59
1762747.05,29.35,0.76,215572.07,3.59
1762810.06,29.35,0.76,221302.29,3.68
1762780.98,29.35,0.77,221641.28,3.69
1762675.09,29.36,0.77,221204.89,3.68
1766319.25,29.42,0.83,222964.8,3.71
1766021.12,29.42,0.83,222938.97,3.71
1765722.99,29.42,0.83,223036.47,3.72
1765500.68,29.41,0.83,222873.08,3.71
1765068.14,29.42,0.83,222804.27,3.71
1765068.14,29.42,0.83,222804.27,3.71
1764880.65,29.42,0.83,222693.72,3.71
1764884.53,29.42,0.83,223476.72,3.72
1764621.26,29.42,0.83,222781.58,3.71
1763874.45,29.41,0.82,222039.67,3.7
1763768.56,29.41,0.82,221603.27,3.7
1765050.42,29.44,0.85,224219.59,3.74
1764834.93,29.44,0.85,224156.07,3.74
1764617.89,29.44,0.85,224150.78,3.74
1764430.39,29.44,0.85,224040.23,3.74
1764206.2,29.44,0.85,223949.01,3.74
1764178.67,29.44,0.85,224045.14,3.74
1764237.55,29.45,0.86,223807.78,3.74
1764022.06,29.45,0.86,223744.72,3.74
1764022.06,29.45,0.86,223744.72,3.74
1763805.01,29.45,0.86,223738.97,3.74
1763912.57,29.46,0.86,223997.12,3.74
1763912.57,29.46,0.86,223997.12,3.74
1764242.72,29.47,0.87,224083.32,3.74
1763644.4,29.47,0.87,224007.85,3.74
1763448.42,29.46,0.87,223827.86,3.74
1764039.64,29.48,0.88,224138.42,3.75
1763310.91,29.47,0.87,223461.98,3.73
1763283.38,29.47,0.88,223558.11,3.74
1763067.88,29.47,0.88,223494.59,3.74
1762850.84,29.48,0.88,223489.3,3.74
1762635.35,29.48,0.88,223425.86,3.74
1762606.27,29.48,0.88,223583.82,3.74
1762606.27,29.48,0.88,223583.82,3.74
1762065.2,29.48,0.87,223079.47,3.73
1762227.78,29.48,0.88,223018.14,3.73
1761933.18,29.48,0.88,222807.49,3.73
1761716.13,29.48,0.88,222802.12,3.73
1761716.13,29.48,0.88,222802.12,3.73
1761716.13,29.48,0.88,222781.47,3.73
1761931.03,29.48,0.88,223569.19,3.74
1761903.5,29.49,0.88,223665.32,3.74
1761903.5,29.49,0.88,223644.69,3.74
1761390.39,29.48,0.88,222819.73,3.73
1761190.39,29.48,0.88,222496.64,3.72
1760974.89,29.48,0.88,222489.27,3.73
1760757.85,29.49,0.88,222427.83,3.72
1760834.8,29.49,0.88,222255.95,3.72
1760834.8,29.49,0.88,222249.43,3.72
1760610.61,29.49,0.88,222155.15,3.72
1760825.51,29.5,0.89,222468.98,3.73
1760902.46,29.5,0.89,222276.73,3.72
1760916.92,29.5,0.89,222345.14,3.73
1761026.03,29.51,0.9,222341.11,3.73
1760996.95,29.51,0.9,222699.41,3.73
1758641.88,29.51,0.9,222646.86,3.74
1758426.39,29.51,0.9,222583.59,3.74
1758209.35,29.51,0.9,222578.05,3.74
1758137.3,29.52,0.91,223381.8,3.75
1758559.54,29.53,0.92,223503.49,3.75
1758911.51,29.54,0.93,223583.55,3.75
1758539.57,29.53,0.92,223346.18,3.75
1757792.77,29.53,0.92,222604.27,3.74
1757484.7,29.53,0.92,222590.75,3.74
1757412.65,29.53,0.92,223394.5,3.75
1757197.16,29.53,0.92,223387.13,3.75
1756980.11,29.53,0.92,223325.69,3.75
1756775.25,29.53,0.92,223201.94,3.75
1756559.75,29.53,0.92,223138.68,3.75
1755812.95,29.52,0.91,222417.13,3.74
1755260.86,29.52,0.91,221921.65,3.73
1755233.33,29.52,0.91,221859.15,3.73
1755448.22,29.53,0.91,222453.02,3.74
1755231.18,29.53,0.91,222447.47,3.74
1754963.01,29.53,0.91,222443.53,3.74
1754747.51,29.53,0.91,222448.79,3.74
1754449.38,29.53,0.91,222424.02,3.74
1754449.38,29.53,0.91,222426.46,3.74
1754695.25,29.54,0.92,222035.19,3.74
1754323.31,29.53,0.92,221647.44,3.73
1754745.55,29.54,0.93,221769.13,3.73
1754750.97,29.54,0.93,225265.35,3.79
1754533.93,29.55,0.93,225191.29,3.79
1755363.37,29.57,0.95,225486.77,3.8
1755052.83,29.56,0.95,225577.8,3.8
1755269.27,29.57,0.95,225648.76,3.8
1754971.14,29.57,0.95,225741.27,3.8
1754755.65,29.57,0.95,225678.2,3.8
1754538.61,29.57,0.95,225672.46,3.8
1753986.51,29.57,0.95,225176.98,3.8
1753688.39,29.57,0.95,225105.79,3.8
1751333.32,29.57,0.95,225053.24,3.8
1751304.24,29.57,0.95,225392.23,3.81
1751008.44,29.57,0.95,225360.63,3.81
1751254.3,29.58,0.96,224969.36,3.8
1750955.39,29.58,0.96,225240.6,3.8
1750666.18,29.58,0.96,225140.78,3.8
1750294.24,29.57,0.95,224903.41,3.8
1749985.65,29.57,0.95,224718.44,3.8
1749675.11,29.57,0.95,224809.46,3.8
1749784.22,29.58,0.96,224805.44,3.8
1749846.45,29.58,0.96,225323.17,3.81
1749548.07,29.58,0.96,225255.89,3.81
1749248.13,29.58,0.96,225247.69,3.81
1748729.48,29.58,0.96,224466.98,3.8
1750607.98,29.62,1.0,224931.42,3.81
1750392.48,29.62,1.0,224868.35,3.8
1750175.44,29.62,1.0,224862.61,3.81
1749959.95,29.62,1.0,224855.24,3.81
1750174.84,29.63,1.0,225530.56,3.82
1749957.8,29.63,1.0,225469.12,3.82
1749957.8,29.63,1.0,225469.12,3.82
1749742.3,29.63,1.0,225461.75,3.82
1749742.3,29.63,1.0,225430.47,3.82
1749525.26,29.63,1.0,225369.03,3.82
1749309.77,29.63,1.0,225305.52,3.82
1749309.77,29.63,1.0,225336.8,3.82
1749092.72,29.63,1.0,225331.5,3.82
1748893.76,29.63,1.0,225122.45,3.81
1748625.59,29.63,1.0,225126.28,3.81
1748327.46,29.63,1.0,225093.2,3.81
1748327.46,29.63,1.0,225061.91,3.81
1748327.46,29.63,1.0,225095.12,3.82
1747965.52,29.63,1.0,224735.95,3.81
1747667.4,29.63,1.0,224799.98,3.81
1747561.5,29.63,1.0,224363.59,3.8
1747561.5,29.63,1.0,224340.49,3.8
1747263.38,29.63,1.0,224273.39,3.8
1747047.16,29.63,1.0,224058.9,3.8
1746751.36,29.63,1.0,224141.88,3.8
1746563.87,29.63,1.0,224031.33,3.8
1746264.97,29.63,1.0,224011.79,3.8
1746489.56,29.63,1.0,223951.14,3.8
1746460.48,29.64,1.01,224552.89,3.81
1746432.95,29.64,1.01,224649.01,3.81
1746855.19,29.65,1.02,224770.7,3.82
1746639.7,29.65,1.02,224707.19,3.81
1746440.73,29.65,1.02,224498.13,3.81
1746155.65,29.65,1.02,224015.06,3.8
1745938.6,29.65,1.02,224009.77,3.8
1745723.11,29.65,1.02,224015.02,3.81
1745506.07,29.66,1.02,223940.96,3.8
1745135.98,29.65,1.01,223551.99,3.8
1745350.87,29.66,1.02,223865.81,3.8
1745745.45,29.67,1.03,225076.98,3.83
1745447.32,29.67,1.03,225036.03,3.83
1745147.65,29.67,1.03,224993.29,3.83
1744932.15,29.67,1.03,224929.78,3.82
