ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
171,442,351020,6212,351020
171,442,351340,6212,351340
171,442,352340,6212,352340
171,442,353340,6212,353340
171,442,353340,6212,353340
172,444,354340,6212,354340
172,444,355340,6212,355340
172,444,356150,6212,356150
172,444,357150,6212,357150
172,444,357150,6212,357150
172,444,358150,6212,358150
172,444,359150,6212,359150
173,446,360150,6212,360150
174,448,360620,6212,360620
174,448,361620,6212,361620
174,448,362620,6212,362620
174,448,363430,6212,363430
175,450,364240,6212,364240
175,450,365240,6212,365240
175,450,365240,6212,365240
175,450,365240,6212,365240
175,450,366240,6212,366240
175,450,366470,6212,366470
176,452,367470,6212,367470
176,452,368470,6212,368470
176,452,369280,6212,369280
177,454,369930,6212,369930
177,454,369930,6212,369930
177,454,370930,6212,370930
178,456,371930,6212,371930
178,456,372390,6212,372390
178,456,373200,6212,373200
178,456,374200,6212,374200
179,460,375200,6212,375200
179,460,376200,6212,376200
180,462,377200,6212,377200
181,464,378010,6212,378010
181,464,378010,6212,378010
181,464,379010,6212,379010
181,464,380010,6212,380010
182,466,381010,6212,381010
182,466,381480,6212,381480
183,468,382480,6212,382480
183,468,383480,6212,383480
183,468,383480,6212,383480
184,472,384480,6212,384480
185,474,385290,6212,385290
185,474,385520,6212,385520
185,474,386520,6212,386520
185,474,387520,6212,387520
185,474,388520,6212,388520
185,474,389520,6212,389520
185,474,389990,6212,389990
186,482,390990,6212,390990
186,482,391990,6212,391990
186,482,392990,6212,392990
186,482,393990,6212,393990
187,484,394800,6212,394800
187,484,395800,6212,395800
187,484,396800,6212,396800
187,484,397800,6212,397800
187,484,398030,6212,398030
187,484,398030,6212,398030
187,484,399030,6212,399030
187,484,399840,6212,399840
188,486,400840,6212,400840
188,486,401840,6212,401840
188,486,402160,6212,402160
189,488,403160,6212,403160
189,488,403160,6212,403160
189,488,404160,6212,404160
190,490,404970,6212,404970
190,490,405520,6212,405520
190,490,405520,6212,405520
190,490,405680,6212,405680
190,490,406000,6212,406000
191,492,406810,6212,406810
191,492,407280,6212,407280
192,494,408280,6212,408280
193,496,409090,6212,409090
193,496,409560,6212,409560
193,496,410020,6212,410020
193,496,411020,6212,411020
194,498,412020,6212,412020
194,498,413020,6212,413020
194,498,413240,6212,413240
194,498,413240,6212,413240
195,500,414240,6212,414240
196,508,422240,6212,422240
196,508,423240,6212,423240
197,510,424050,6212,424050
197,510,424050,6212,424050
197,510,425050,6212,425050
198,512,426050,6212,426050
198,512,426270,6212,426270
198,512,426920,6212,426920
198,512,427920,6212,427920
199,514,428920,6212,428920
200,516,429920,6212,429920
201,518,430570,6212,430570
201,518,431380,6212,431380
201,518,432380,6212,432380
202,520,433030,6212,433030
203,522,433500,6212,433500
203,522,433500,6212,433500
203,522,434310,6212,434310
203,522,434780,6212,434780
204,524,435250,6212,435250
204,524,435720,6212,435720
204,524,436190,6212,436190
204,524,437000,6212,437000
204,524,438000,6212,438000
204,524,438320,6212,438320
205,526,439320,6212,439320
206,528,440130,6212,440130
206,528,440600,6212,440600
206,528,441600,6212,441600
206,528,441920,6212,441920
206,528,442730,6212,442730
206,528,442890,6212,442890
207,530,443890,6212,443890
208,532,444540,6212,444540
208,532,444540,6212,444540
208,532,445540,6212,445540
208,532,446010,6212,446010
208,532,447010,6212,447010
208,532,447330,6212,447330
209,534,448330,6212,448330
209,534,449330,6212,449330
209,534,449700,6212,449700
210,536,450700,6212,450700
210,536,451700,6212,451700
211,538,452700,6212,452700
211,538,453700,6212,453700
211,538,454700,6212,454700
212,540,455700,6212,455700
212,540,456700,6212,456700
212,540,456700,6212,456700
212,540,456700,6212,456700
213,542,456930,6212,456930
214,544,457930,6212,457930
214,544,457930,6212,457930
214,544,458250,6212,458250
214,544,458720,6212,458720
214,544,459720,6212,459720
215,546,460720,6212,460720
215,546,461720,6212,461720
216,548,462530,6212,462530
216,548,463340,6212,463340
216,548,463820,6212,463820
217,550,464820,6212,464820
217,550,465820,6212,465820
218,552,466820,6212,466820
218,552,466820,6212,466820
218,552,467820,6212,467820
219,554,468820,6212,468820
220,556,469630,6212,469630
220,556,470630,6212,470630
221,558,471100,6212,471100
222,560,472100,6212,472100
222,560,472910,6212,472910
222,560,473720,6212,473720
223,564,474720,6212,474720
223,564,475720,6212,475720
223,564,476720,6212,476720
224,566,477530,6212,477530
224,566,477760,6212,477760
224,566,478760,6212,478760
224,566,478760,6212,478760
225,568,479760,6212,479760
225,568,479980,6212,479980
225,568,480450,6212,480450
226,570,481260,6212,481260
226,570,482260,6212,482260
227,572,483260,6212,483260
227,572,484260,6212,484260
227,572,485070,6212,485070
227,572,485660,6212,485660
227,572,486660,6212,486660
228,580,494660,6212,494660
229,582,495210,6212,495210
229,582,496020,6212,496020
229,582,496020,6212,496020
230,584,497020,6212,497020
230,584,498020,6212,498020
231,592,498020,6212,498020
232,594,499020,6212,499020
232,594,500020,6212,500020
232,594,500250,6212,500250
233,596,501250,6212,501250
233,596,501410,6212,501410
234,600,502410,6212,502410
234,600,503410,6212,503410
235,602,504410,6212,504410
236,604,504880,6212,504880
237,606,505350,6212,505350
237,606,505820,6212,505820
237,606,506820,6212,506820
238,608,507630,6212,507630
239,610,508630,6212,508630
239,610,509630,6212,509630
239,610,509950,6212,509950
239,610,510760,6212,510760
239,610,511080,6212,511080
240,612,511550,6212,511550
240,612,512360,6212,512360
