ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4759-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4759-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4759-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4759-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4759-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_ratio
809911.44,14.04,0.7,293673.37,5.09
809762.97,14.04,0.7,293586.77,5.09
809762.97,14.04,0.7,293586.77,5.09
810048.33,14.05,0.7,293674.05,5.09
809899.86,14.05,0.7,293821.73,5.1
809751.38,14.05,0.7,293709.87,5.09
809800.34,14.05,0.71,293274.2,5.09
809426.5,14.04,0.7,292971.09,5.08
809365.02,14.05,0.7,292814.24,5.08
809650.38,14.05,0.71,293231.28,5.09
809501.91,14.05,0.71,293164.86,5.09
809211.33,14.05,0.7,292823.57,5.08
809211.33,14.05,0.7,292823.57,5.08
809251.57,14.05,0.71,292779.78,5.08
809103.1,14.05,0.71,293022.41,5.09
808954.62,14.05,0.71,292909.46,5.09
808954.62,14.05,0.71,292909.46,5.09
809223.86,14.06,0.71,292803.12,5.09
809264.09,14.06,0.71,293382.47,5.1
809115.62,14.06,0.71,293270.89,5.1
808967.15,14.06,0.71,293254.33,5.1
808818.68,14.06,0.71,293135.3,5.09
808670.2,14.06,0.71,293119.57,5.1
808521.73,14.06,0.71,292972.77,5.09
808570.68,14.06,0.72,292537.1,5.09
808509.2,14.06,0.72,292380.25,5.08
808360.73,14.06,0.72,292600.02,5.09
808212.26,14.06,0.72,292527.57,5.09
808063.79,14.06,0.72,292471.87,5.09
807915.31,14.06,0.72,292445.34,5.09
807955.55,14.06,0.72,291889.79,5.08
