ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_ratio,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_q124,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_ratio
914635.89,16.06,3.37,558522.81,9.81
914661.92,16.06,3.37,558324.37,9.81
914974.48,16.07,3.38,558424.59,9.81
914379.05,16.07,3.38,558031.09,9.81
914210.06,16.07,3.38,557834.25,9.81
914572.32,16.08,3.39,557681.92,9.8
914848.1,16.08,3.39,557817.53,9.81
915418.7,16.1,3.4,557824.57,9.81
915255.96,16.1,3.4,557552.71,9.81
914240.58,16.1,3.41,557094.75,9.81
914071.59,16.1,3.41,556899.7,9.81
914195.38,16.11,3.41,556931.89,9.81
914053.68,16.11,3.41,557329.49,9.82
914366.24,16.11,3.42,557429.71,9.82
914395.69,16.11,3.42,557460.63,9.82
914519.49,16.12,3.43,557492.82,9.83
914952.06,16.13,3.44,557483.65,9.83
914806.15,16.13,3.44,557285.12,9.82
914480.66,16.13,3.44,556948.54,9.82
914758.47,16.13,3.44,556851.24,9.82
914882.27,16.14,3.45,556854.19,9.82
915006.07,16.14,3.45,556927.19,9.83
914843.33,16.14,3.45,557124.29,9.83
915124.74,16.15,3.46,556494.25,9.82
915248.54,16.16,3.46,556567.25,9.82
915079.55,16.16,3.46,556438.37,9.82
915349.08,16.16,3.47,556464.14,9.83
915364.29,16.16,3.47,555991.28,9.82
915195.3,16.16,3.47,555884.1,9.82
915026.31,16.16,3.47,555759.73,9.82
915185.32,16.17,3.48,555732.78,9.82
915016.33,16.17,3.48,555625.59,9.82
914847.34,16.17,3.48,555433.23,9.82
914971.14,16.17,3.48,555616.53,9.82
914990.91,16.18,3.48,555611.79,9.82
914821.92,16.18,3.48,555419.43,9.82
915384.25,16.19,3.49,555492.26,9.82
915946.57,16.2,3.51,555565.08,9.83
915679.02,16.2,3.5,555243.37,9.82
915802.82,16.2,3.51,555228.77,9.82
915640.08,16.2,3.51,554915.0,9.82
915640.08,16.2,3.51,554807.3,9.82
915859.35,16.21,3.51,554506.25,9.81
915690.36,16.21,3.51,554399.06,9.81
915690.36,16.21,3.51,554200.07,9.81
915507.39,16.2,3.51,554046.12,9.81
915507.39,16.2,3.51,553909.55,9.8
915776.92,16.21,3.52,553933.85,9.8
915607.93,16.21,3.52,553826.67,9.8
916384.2,16.22,3.53,554088.88,9.81
916399.41,16.23,3.53,553616.03,9.8
916685.95,16.23,3.54,553747.42,9.81
916857.1,16.24,3.55,553339.54,9.8
917419.42,16.25,3.56,553412.36,9.8
917439.2,16.25,3.56,553407.62,9.8
917270.21,16.25,3.56,553212.57,9.8
917394.01,16.26,3.56,553197.97,9.8
917756.27,16.26,3.57,553242.26,9.8
918001.28,16.27,3.58,553456.51,9.81
916985.9,16.28,3.58,552973.04,9.81
917109.7,16.28,3.59,553046.04,9.82
917233.49,16.29,3.59,553141.82,9.82
917904.71,16.3,3.61,553432.67,9.83
917780.67,16.3,3.61,553185.62,9.82
918342.99,16.31,3.62,553273.47,9.83
918488.18,16.31,3.62,553229.7,9.83
918319.19,16.31,3.62,553106.3,9.82
918314.45,16.31,3.62,553399.4,9.83
918438.25,16.32,3.63,553472.4,9.83
