ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
530,2798,731780,6212,731780
531,2806,732590,6212,732590
532,2808,733590,6212,733590
533,2810,734180,6212,734180
534,2818,735180,6212,735180
535,2826,735500,6212,735500
536,2834,736150,6212,736150
537,2842,736700,6212,736700
538,2843,737020,6212,737020
539,2851,737020,6212,737020
540,2853,737020,6212,737020
541,2857,737490,6212,737490
542,2859,737490,6212,737490
542,2859,738300,6212,738300
543,2867,740300,6212,740300
543,2867,741300,6212,741300
543,2867,741770,6212,741770
544,2869,742240,6212,742240
545,2877,742710,6212,742710
545,2877,743520,6212,743520
545,2877,744520,6212,744520
545,2877,745520,6212,745520
545,2877,745520,6212,745520
545,2877,746520,6212,746520
546,2885,754520,6212,754520
546,2885,755330,6212,755330
546,2885,756140,6212,756140
547,2887,757140,6212,757140
548,2895,758140,6212,758140
549,2897,758730,6212,758730
549,2897,758730,6212,758730
550,2905,759540,6212,759540
551,2907,759540,6212,759540
552,2915,767540,6212,767540
552,2915,768190,6212,768190
552,2915,769190,6212,769190
553,2917,769510,6212,769510
553,2917,770510,6212,770510
553,2917,770970,6212,770970
554,2925,771970,6212,771970
554,2925,772440,6212,772440
555,2927,772910,6212,772910
555,2927,772910,6212,772910
556,2935,774910,6212,774910
557,2943,775140,6212,775140
558,2951,776140,6212,776140
558,2951,777140,6212,777140
558,2951,777950,6212,777950
558,2951,778760,6212,778760
559,2953,779130,6212,779130
559,2953,780130,6212,780130
559,2953,780130,6212,780130
559,2953,780940,6212,780940
559,2953,781940,6212,781940
559,2953,782940,6212,782940
560,2961,783750,6212,783750
561,2969,784220,6212,784220
561,2969,785220,6212,785220
562,2977,785690,6212,785690
563,2985,793690,6212,793690
563,2985,794500,6212,794500
564,2989,795500,6212,795500
565,2991,795500,6212,795500
566,2993,796500,6212,796500
566,2993,796500,6212,796500
567,3001,796730,6212,796730
568,3009,796730,6212,796730
569,3011,797730,6212,797730
569,3011,798540,6212,798540
570,3019,799540,6212,799540
570,3019,800190,6212,800190
571,3021,801000,6212,801000
572,3029,801810,6212,801810
573,3037,802810,6212,802810
573,3037,803810,6212,803810
574,3039,803810,6212,803810
575,3047,803810,6212,803810
576,3055,811810,6212,811810
577,3063,812130,6212,812130
577,3063,812450,6212,812450
578,3067,812770,6212,812770
579,3075,813090,6212,813090
579,3075,813900,6212,813900
579,3075,814370,6212,814370
579,3075,815370,6212,815370
579,3075,819370,6212,819370
580,3077,820370,6212,820370
581,3079,821370,6212,821370
581,3079,822370,6212,822370
581,3079,822920,6212,822920
581,3079,823570,6212,823570
582,3087,823890,6212,823890
582,3087,824890,6212,824890
582,3087,825890,6212,825890
583,3089,826890,6212,826890
584,3091,827890,6212,827890
585,3093,827890,6212,827890
586,3095,828700,6212,828700
586,3095,829170,6212,829170
586,3095,829170,6212,829170
586,3095,829400,6212,829400
586,3095,830400,6212,830400
586,3095,831400,6212,831400
587,3099,831630,6212,831630
587,3099,832630,6212,832630
588,3107,840630,6212,840630
589,3115,840630,6212,840630
590,3119,841000,6212,841000
590,3119,842000,6212,842000
590,3119,842000,6212,842000
590,3119,843000,6212,843000
590,3119,844000,6212,844000
590,3119,844470,6212,844470
590,3119,844940,6212,844940
590,3119,845750,6212,845750
590,3119,846560,6212,846560
591,3127,847560,6212,847560
592,3135,848560,6212,848560
592,3135,849560,6212,849560
593,3143,850560,6212,850560
593,3143,851560,6212,851560
593,3143,852370,6212,852370
594,3145,853020,6212,853020
595,3147,853670,6212,853670
595,3147,854140,6212,854140
596,3149,854730,6212,854730
596,3149,855200,6212,855200
597,3151,856200,6212,856200
597,3151,856790,6212,856790
598,3159,856790,6212,856790
598,3159,857790,6212,857790
598,3159,858790,6212,858790
598,3159,858790,6212,858790
598,3159,859790,6212,859790
598,3159,859790,6212,859790
599,3167,860790,6212,860790
599,3167,861790,6212,861790
600,3171,862600,6212,862600
601,3173,863070,6212,863070
601,3173,863720,6212,863720
602,3181,863720,6212,863720
603,3189,864720,6212,864720
603,3189,865040,6212,865040
603,3189,865040,6212,865040
604,3197,865360,6212,865360
605,3205,867360,6212,867360
606,3207,867360,6212,867360
606,3207,867360,6212,867360
606,3207,867360,6212,867360
607,3209,868360,6212,868360
607,3209,868830,6212,868830
608,3217,869640,6212,869640
609,3225,870230,6212,870230
609,3225,871230,6212,871230
609,3225,871820,6212,871820
610,3233,872630,6212,872630
611,3241,873630,6212,873630
612,3249,874630,6212,874630
612,3249,874790,6212,874790
613,3251,875250,6212,875250
613,3251,876250,6212,876250
613,3251,876570,6212,876570
613,3251,877570,6212,877570
614,3253,878570,6212,878570
615,3261,879570,6212,879570
616,3263,881570,6212,881570
617,3265,882570,6212,882570
618,3273,883570,6212,883570
618,3273,883890,6212,883890
619,3275,884890,6212,884890
620,3283,892890,6212,892890
621,3291,900890,6212,900890
621,3291,901700,6212,901700
622,3293,902700,6212,902700
623,3301,902920,6212,902920
623,3301,903080,6212,903080
623,3301,903890,6212,903890
623,3301,904890,6212,904890
623,3301,905110,6212,905110
623,3301,905270,6212,905270
624,3309,906270,6212,906270
625,3317,907270,6212,907270
625,3317,908270,6212,908270
625,3317,909270,6212,909270
626,3325,910270,6212,910270
626,3325,911270,6212,911270
627,3333,912270,6212,912270
628,3335,913270,6212,913270
628,3335,913590,6212,913590
629,3343,914590,6212,914590
629,3343,915400,6212,915400
630,3351,915400,6212,915400
630,3351,915870,6212,915870
630,3351,916680,6212,916680
630,3351,917680,6212,917680
630,3351,918680,6212,918680
631,3359,918680,6212,918680
632,3361,919680,6212,919680
633,3363,920680,6212,920680
633,3363,921680,6212,921680
633,3363,922490,6212,922490
634,3365,923490,6212,923490
634,3365,923720,6212,923720
635,3373,924720,6212,924720
636,3381,925720,6212,925720
637,3389,933720,6212,933720
638,3391,933720,6212,933720
638,3391,934190,6212,934190
639,3399,935190,6212,935190
640,3407,935420,6212,935420
641,3409,936420,6212,936420
641,3409,936790,6212,936790
641,3409,937790,6212,937790
642,3410,938790,6212,938790
642,3410,938790,6212,938790
643,3411,939600,6212,939600
644,3419,941600,6212,941600
645,3427,942410,6212,942410
