ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7f77-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7f77-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7f77-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7f77-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7f77-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
264,622,425480,6212,425480
265,624,426480,6212,426480
265,624,427480,6212,427480
266,626,428480,6212,428480
266,626,428480,6212,428480
266,626,428800,6212,428800
266,626,429260,6212,429260
266,626,429730,6212,429730
266,626,429730,6212,429730
267,628,430730,6212,430730
267,628,431730,6212,431730
267,628,431950,6212,431950
268,630,432950,6212,432950
268,630,432950,6212,432950
268,630,432950,6212,432950
268,630,432950,6212,432950
268,630,433420,6212,433420
269,632,434230,6212,434230
269,632,434340,6212,434340
269,632,435340,6212,435340
270,634,436340,6212,436340
270,634,436690,6212,436690
270,634,436850,6212,436850
270,634,437850,6212,437850
270,634,438170,6212,438170
271,636,439170,6212,439170
271,636,439170,6212,439170
271,636,440170,6212,440170
272,640,440400,6212,440400
273,642,441400,6212,441400
273,642,442400,6212,442400
274,644,443210,6212,443210
274,644,443680,6212,443680
275,646,444680,6212,444680
275,646,444680,6212,444680
275,646,444680,6212,444680
275,646,445150,6212,445150
275,646,445620,6212,445620
276,648,446620,6212,446620
276,648,447430,6212,447430
277,650,448430,6212,448430
277,650,449430,6212,449430
278,652,450430,6212,450430
278,652,451430,6212,451430
278,652,451430,6212,451430
279,654,452430,6212,452430
279,654,452430,6212,452430
279,654,452750,6212,452750
279,654,453750,6212,453750
279,654,453980,6212,453980
279,654,454980,6212,454980
279,654,455980,6212,455980
279,654,456980,6212,456980
279,654,456980,6212,456980
280,656,457980,6212,457980
280,656,458980,6212,458980
280,656,459450,6212,459450
280,656,459450,6212,459450
281,658,460450,6212,460450
281,658,460450,6212,460450
281,658,461450,6212,461450
282,660,462450,6212,462450
282,660,463450,6212,463450
283,662,464450,6212,464450
283,662,465260,6212,465260
284,664,465580,6212,465580
284,664,465580,6212,465580
284,664,465580,6212,465580
284,664,465800,6212,465800
284,664,466610,6212,466610
285,666,467610,6212,467610
285,666,467610,6212,467610
285,666,468080,6212,468080
286,668,469080,6212,469080
286,668,469550,6212,469550
286,668,470550,6212,470550
287,672,471020,6212,471020
287,672,472020,6212,472020
287,672,473020,6212,473020
287,672,473020,6212,473020
287,672,473490,6212,473490
287,672,474490,6212,474490
288,674,475300,6212,475300
288,674,475300,6212,475300
288,674,475780,6212,475780
289,676,476780,6212,476780
289,676,477430,6212,477430
290,678,478430,6212,478430
290,678,479430,6212,479430
291,680,480240,6212,480240
291,680,481050,6212,481050
292,682,482050,6212,482050
292,682,482050,6212,482050
292,682,482520,6212,482520
292,682,483520,6212,483520
293,684,484330,6212,484330
293,684,484330,6212,484330
293,684,484330,6212,484330
293,684,484330,6212,484330
293,684,484330,6212,484330
293,684,485330,6212,485330
293,684,485330,6212,485330
294,686,486330,6212,486330
294,686,487330,6212,487330
294,686,487330,6212,487330
295,690,487800,6212,487800
295,690,488800,6212,488800
295,690,489800,6212,489800
295,690,490800,6212,490800
296,692,491610,6212,491610
296,692,491610,6212,491610
296,692,491610,6212,491610
296,692,492200,6212,492200
297,694,493200,6212,493200
297,694,493200,6212,493200
297,694,493200,6212,493200
297,694,494200,6212,494200
298,696,495200,6212,495200
298,696,496200,6212,496200
299,698,497010,6212,497010
299,698,497820,6212,497820
299,698,497820,6212,497820
299,698,498140,6212,498140
300,700,499140,6212,499140
300,700,499950,6212,499950
300,700,499950,6212,499950
300,700,499950,6212,499950
301,704,500420,6212,500420
302,706,501230,6212,501230
302,706,501700,6212,501700
302,706,501700,6212,501700
302,706,502700,6212,502700
302,706,503510,6212,503510
302,706,503980,6212,503980
303,708,505980,6212,505980
303,708,506790,6212,506790
303,708,507110,6212,507110
304,710,507920,6212,507920
304,710,508920,6212,508920
305,712,509920,6212,509920
305,712,510920,6212,510920
306,714,511730,6212,511730
306,714,512100,6212,512100
306,714,512570,6212,512570
306,714,512570,6212,512570
306,714,513570,6212,513570
307,716,514570,6212,514570
307,716,515380,6212,515380
308,718,516190,6212,516190
308,718,517190,6212,517190
308,718,517190,6212,517190
309,720,518000,6212,518000
309,720,518000,6212,518000
309,720,519000,6212,519000
309,720,519000,6212,519000
310,722,519810,6212,519810
310,722,520810,6212,520810
310,722,521040,6212,521040
311,724,521850,6212,521850
311,724,522850,6212,522850
312,726,523850,6212,523850
312,726,524850,6212,524850
313,728,525850,6212,525850
313,728,526850,6212,526850
313,728,526850,6212,526850
314,730,527660,6212,527660
314,730,528130,6212,528130
314,730,528600,6212,528600
315,732,529600,6212,529600
315,732,530600,6212,530600
316,734,530830,6212,530830
316,734,531830,6212,531830
317,736,532640,6212,532640
317,736,532640,6212,532640
317,736,533450,6212,533450
318,738,534260,6212,534260
318,738,535260,6212,535260
318,738,535730,6212,535730
319,740,536730,6212,536730
319,740,537730,6212,537730
320,742,538380,6212,538380
320,742,539380,6212,539380
321,744,540380,6212,540380
321,744,540840,6212,540840
321,744,540840,6212,540840
322,746,541840,6212,541840
322,746,542840,6212,542840
323,750,543390,6212,543390
323,750,543620,6212,543620
323,750,544620,6212,544620
323,750,545620,6212,545620
323,750,546620,6212,546620
324,752,547620,6212,547620
324,752,548620,6212,548620
325,754,549620,6212,549620
325,754,549620,6212,549620
325,754,549940,6212,549940
325,754,550940,6212,550940
326,756,551750,6212,551750
326,756,552750,6212,552750
327,758,553750,6212,553750
327,758,554070,6212,554070
327,758,554070,6212,554070
327,758,554070,6212,554070
327,758,554070,6212,554070
327,758,554070,6212,554070
327,758,554390,6212,554390
327,758,554390,6212,554390
327,758,555390,6212,555390
328,760,556390,6212,556390
328,760,556390,6212,556390
328,760,556860,6212,556860
328,760,557180,6212,557180
328,760,557180,6212,557180
329,762,558180,6212,558180
329,762,558180,6212,558180
329,762,558650,6212,558650
329,762,558650,6212,558650
329,762,558650,6212,558650
329,762,558650,6212,558650
329,762,559650,6212,559650
329,762,559650,6212,559650
330,764,560240,6212,560240
330,764,561050,6212,561050
330,764,561050,6212,561050
331,766,562050,6212,562050
331,766,562520,6212,562520
331,766,562520,6212,562520
332,768,563520,6212,563520
332,768,564520,6212,564520
333,770,565520,6212,565520
333,770,566330,6212,566330
334,772,567140,6212,567140
334,772,567950,6212,567950
335,774,568950,6212,568950
335,774,568950,6212,568950
335,774,569760,6212,569760
335,774,570220,6212,570220
336,778,570440,6212,570440
337,780,571440,6212,571440
337,780,572440,6212,572440
337,780,572760,6212,572760
338,782,573760,6212,573760
338,782,574220,6212,574220
339,784,574870,6212,574870
339,784,575870,6212,575870
339,784,575870,6212,575870
340,786,576870,6212,576870
340,786,577330,6212,577330
340,786,577800,6212,577800
340,786,578800,6212,578800
340,786,578800,6212,578800
340,786,579800,6212,579800
340,786,580800,6212,580800
340,786,581450,6212,581450
341,788,582450,6212,582450
341,788,583450,6212,583450
342,790,584450,6212,584450
342,790,584920,6212,584920
342,790,585920,6212,585920
343,792,586920,6212,586920
343,792,587390,6212,587390
344,794,588390,6212,588390
344,794,588390,6212,588390
344,794,589200,6212,589200
345,796,590200,6212,590200
345,796,591200,6212,591200
346,798,592010,6212,592010
346,798,592010,6212,592010
346,798,593010,6212,593010
346,798,593480,6212,593480
347,800,593940,6212,593940
347,800,594940,6212,594940
347,800,595410,6212,595410
348,802,595880,6212,595880
348,802,596880,6212,596880
348,802,596880,6212,596880
348,802,597350,6212,597350
349,804,598350,6212,598350
349,804,598350,6212,598350
349,804,599350,6212,599350
350,806,600160,6212,600160
350,806,600320,6212,600320
350,806,601320,6212,601320
351,808,602130,6212,602130
351,808,603130,6212,603130
352,816,603130,6212,603130
353,818,604130,6212,604130
353,818,605130,6212,605130
354,820,606130,6212,606130
354,820,607130,6212,607130
354,820,607130,6212,607130
354,820,607130,6212,607130
355,822,608130,6212,608130
355,822,608600,6212,608600
356,824,609600,6212,609600
356,824,610600,6212,610600
357,826,611410,6212,611410
357,826,612410,6212,612410
357,826,612410,6212,612410
357,826,612880,6212,612880
358,828,613880,6212,613880
358,828,614880,6212,614880
359,830,615880,6212,615880
359,830,615880,6212,615880
359,830,616880,6212,616880
360,832,617880,6212,617880
360,832,617880,6212,617880
360,832,618530,6212,618530
