ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cb9f-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
193,450,387540,6212,387540
194,452,388540,6212,388540
194,452,388700,6212,388700
194,452,389700,6212,389700
194,452,390020,6212,390020
195,454,391020,6212,391020
195,454,391020,6212,391020
195,454,392020,6212,392020
196,456,392830,6212,392830
196,456,393300,6212,393300
196,456,394300,6212,394300
197,458,395300,6212,395300
198,460,395770,6212,395770
198,460,395770,6212,395770
198,460,396580,6212,396580
198,460,397390,6212,397390
199,462,398200,6212,398200
199,462,399200,6212,399200
200,464,400200,6212,400200
200,464,401200,6212,401200
200,464,401670,6212,401670
201,466,402670,6212,402670
201,466,402670,6212,402670
201,466,403670,6212,403670
202,468,404670,6212,404670
202,468,405480,6212,405480
203,470,406290,6212,406290
203,470,407290,6212,407290
204,472,408290,6212,408290
204,472,408760,6212,408760
205,474,409760,6212,409760
205,474,410760,6212,410760
206,476,411760,6212,411760
206,476,412230,6212,412230
206,476,413230,6212,413230
206,476,413230,6212,413230
207,478,413700,6212,413700
207,478,414020,6212,414020
207,478,414180,6212,414180
207,478,415180,6212,415180
208,480,415990,6212,415990
208,480,416990,6212,416990
209,482,417990,6212,417990
210,484,418990,6212,418990
210,484,419990,6212,419990
211,486,420990,6212,420990
211,486,421990,6212,421990
211,486,422990,6212,422990
212,488,423990,6212,423990
212,488,424460,6212,424460
212,488,424460,6212,424460
213,496,424460,6212,424460
214,498,425460,6212,425460
215,500,426110,6212,426110
215,500,426110,6212,426110
215,500,427110,6212,427110
215,500,427920,6212,427920
216,502,428920,6212,428920
216,502,428920,6212,428920
217,510,436920,6212,436920
217,510,437920,6212,437920
217,510,438380,6212,438380
218,512,439380,6212,439380
218,512,439850,6212,439850
218,512,439850,6212,439850
218,512,440850,6212,440850
219,514,441850,6212,441850
219,514,442850,6212,442850
220,516,443320,6212,443320
220,516,443640,6212,443640
220,516,444640,6212,444640
221,518,445450,6212,445450
221,518,446260,6212,446260
221,518,446260,6212,446260
221,518,446260,6212,446260
222,520,447260,6212,447260
