ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
863325.05,14.44,0.85,190399.78,3.19
863376.74,14.45,0.85,190522.88,3.19
863428.43,14.45,0.85,190620.51,3.19
863292.47,14.45,0.85,190586.34,3.19
863083.67,14.45,0.85,190382.16,3.19
862947.71,14.45,0.85,190313.42,3.19
863131.43,14.45,0.85,190398.05,3.19
862995.47,14.45,0.86,190482.6,3.19
863259.15,14.46,0.86,197012.16,3.3
862969.47,14.45,0.86,196770.08,3.3
862969.47,14.45,0.86,196773.35,3.3
862833.51,14.45,0.86,196773.61,3.3
863017.23,14.46,0.86,196942.53,3.3
863200.94,14.46,0.86,197027.16,3.3
862911.27,14.46,0.86,196820.43,3.3
862911.27,14.46,0.86,196863.42,3.3
862566.48,14.45,0.86,196653.28,3.29
862618.18,14.45,0.86,196885.53,3.3
862890.21,14.46,0.86,196867.98,3.3
862600.54,14.46,0.86,196625.89,3.3
862464.58,14.46,0.86,196948.56,3.3
862328.62,14.46,0.86,196928.94,3.3
862192.66,14.46,0.86,196845.65,3.3
862469.12,14.46,0.87,196822.04,3.3
862520.81,14.47,0.87,197201.03,3.31
862384.85,14.47,0.87,197098.12,3.31
862248.89,14.47,0.87,197098.12,3.31
862914.68,14.48,0.88,197209.42,3.31
862451.05,14.47,0.88,196699.99,3.3
862315.09,14.47,0.88,196597.08,3.3
862366.79,14.48,0.88,196781.67,3.3
862077.11,14.47,0.88,196539.59,3.3
866155.91,14.54,0.94,197733.69,3.32
866019.95,14.54,0.94,197733.95,3.32
