ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
306,704,520760,6212,520760
307,712,520760,6212,520760
307,712,521570,6212,521570
308,714,522570,6212,522570
308,714,523040,6212,523040
309,716,524040,6212,524040
309,716,524200,6212,524200
310,718,524850,6212,524850
310,718,525660,6212,525660
310,718,526310,6212,526310
310,718,526680,6212,526680
311,720,527680,6212,527680
311,720,528330,6212,528330
312,722,529330,6212,529330
312,722,529550,6212,529550
312,722,530360,6212,530360
312,722,531360,6212,531360
313,724,532170,6212,532170
313,724,532640,6212,532640
313,724,532640,6212,532640
314,726,533640,6212,533640
314,726,534640,6212,534640
314,726,535110,6212,535110
315,728,536110,6212,536110
315,728,536920,6212,536920
316,730,537920,6212,537920
317,732,538920,6212,538920
317,732,538920,6212,538920
317,732,539730,6212,539730
318,734,540730,6212,540730
318,734,541050,6212,541050
318,734,542050,6212,542050
319,736,542860,6212,542860
319,736,543230,6212,543230
320,738,544040,6212,544040
320,738,544850,6212,544850
321,740,546850,6212,546850
321,740,546850,6212,546850
322,742,547850,6212,547850
322,742,548850,6212,548850
323,744,549850,6212,549850
323,744,550660,6212,550660
323,744,551130,6212,551130
323,744,551450,6212,551450
324,746,552260,6212,552260
324,746,552720,6212,552720
325,748,553720,6212,553720
325,748,554190,6212,554190
325,748,554840,6212,554840
325,748,554840,6212,554840
326,750,555650,6212,555650
326,750,556120,6212,556120
327,752,556590,6212,556590
328,754,557590,6212,557590
328,754,558590,6212,558590
328,754,558590,6212,558590
329,762,558590,6212,558590
329,762,559400,6212,559400
330,764,560050,6212,560050
330,764,561050,6212,561050
331,766,562050,6212,562050
331,766,562860,6212,562860
332,768,563330,6212,563330
332,768,564330,6212,564330
333,770,565140,6212,565140
333,770,566140,6212,566140
334,772,567140,6212,567140
334,772,568140,6212,568140
334,772,568460,6212,568460
335,774,569110,6212,569110
336,776,569660,6212,569660
336,776,570250,6212,570250
336,776,571250,6212,571250
337,778,572250,6212,572250
337,778,572250,6212,572250
337,778,572250,6212,572250
337,778,572250,6212,572250
337,778,573250,6212,573250
337,778,573720,6212,573720
338,780,574190,6212,574190
338,780,575190,6212,575190
338,780,575660,6212,575660
339,782,576130,6212,576130
339,782,576940,6212,576940
339,782,576940,6212,576940
339,782,577410,6212,577410
339,782,577520,6212,577520
340,784,578520,6212,578520
340,784,579330,6212,579330
341,786,580330,6212,580330
342,788,581330,6212,581330
342,788,582330,6212,582330
343,790,583330,6212,583330
343,790,584330,6212,584330
343,790,584330,6212,584330
343,790,584330,6212,584330
344,792,584800,6212,584800
344,792,585270,6212,585270
344,792,585920,6212,585920
344,792,586920,6212,586920
345,794,587570,6212,587570
345,794,587570,6212,587570
345,794,587890,6212,587890
345,794,588890,6212,588890
346,796,589890,6212,589890
346,796,590700,6212,590700
347,798,591510,6212,591510
347,798,592510,6212,592510
347,798,592730,6212,592730
348,800,593730,6212,593730
348,800,594730,6212,594730
349,802,595540,6212,595540
349,802,595860,6212,595860
350,804,596860,6212,596860
350,804,597510,6212,597510
350,804,598510,6212,598510
350,804,598740,6212,598740
351,806,599390,6212,599390
351,806,600390,6212,600390
352,808,600860,6212,600860
352,808,601330,6212,601330
352,808,601800,6212,601800
353,810,602800,6212,602800
353,810,603260,6212,603260
353,810,604070,6212,604070
354,812,605070,6212,605070
355,814,606070,6212,606070
356,816,607070,6212,607070
