ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
1586598.45,26.28,0.77,227792.78,3.77
1587491.29,26.3,0.79,228286.92,3.78
1587117.57,26.29,0.79,228047.25,3.78
1586911.37,26.29,0.79,228045.08,3.78
1586705.17,26.29,0.79,227971.01,3.78
1586635.64,26.3,0.79,227532.62,3.77
1587025.44,26.31,0.8,227600.48,3.77
1587175.86,26.31,0.81,227782.99,3.78
1586703.17,26.31,0.8,226941.41,3.76
1586448.16,26.31,0.8,226972.79,3.76
1586891.93,26.32,0.82,227161.01,3.77
1586685.74,26.32,0.82,227158.98,3.77
1586479.54,26.32,0.82,227084.77,3.77
1586963.93,26.33,0.83,227087.54,3.77
1586476.77,26.33,0.82,226687.7,3.76
1586508.8,26.33,0.82,226700.44,3.76
1586302.6,26.33,0.82,226698.41,3.76
1586096.4,26.33,0.82,226624.2,3.76
1585890.2,26.33,0.82,226622.03,3.76
1585595.46,26.33,0.82,226393.69,3.76
1585191.97,26.32,0.82,226131.26,3.76
1585173.81,26.33,0.82,226227.65,3.76
1585383.16,26.33,0.82,226648.77,3.76
1585881.95,26.34,0.84,226801.47,3.77
1585881.95,26.34,0.84,226801.47,3.77
1585677.0,26.34,0.83,226676.46,3.77
1586320.44,26.35,0.85,227006.15,3.77
1586121.05,26.35,0.84,226803.55,3.77
1585914.85,26.35,0.84,226729.48,3.77
1585496.93,26.35,0.84,226320.91,3.76
1585290.74,26.35,0.84,226318.88,3.76
1584761.23,26.35,0.83,225781.19,3.75
1584770.53,26.35,0.83,225795.95,3.75
1584998.05,26.35,0.84,225859.67,3.76
1584791.85,26.35,0.84,225785.46,3.75
1584585.65,26.35,0.84,225714.39,3.75
1584567.49,26.36,0.84,226055.61,3.76
1584361.29,26.36,0.84,226050.44,3.76
1583879.69,26.35,0.84,225735.44,3.76
1583505.98,26.35,0.84,225495.76,3.75
1583633.67,26.36,0.84,225312.29,3.75
1583615.51,26.36,0.84,225408.68,3.75
1584009.44,26.37,0.86,225480.67,3.75
1584236.96,26.38,0.86,225789.22,3.76
1584236.96,26.38,0.86,225789.22,3.76
