ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
230,578,469630,6212,469630
230,578,470630,6212,470630
231,580,471100,6212,471100
231,580,472100,6212,472100
231,580,472910,6212,472910
232,582,473720,6212,473720
232,582,474720,6212,474720
232,582,475720,6212,475720
232,582,476720,6212,476720
233,584,477530,6212,477530
233,584,477760,6212,477760
234,586,478760,6212,478760
234,586,478760,6212,478760
234,586,479760,6212,479760
234,586,479980,6212,479980
234,586,480450,6212,480450
234,586,481260,6212,481260
235,588,482260,6212,482260
235,588,483260,6212,483260
236,590,484260,6212,484260
237,592,485070,6212,485070
237,592,485660,6212,485660
237,592,486660,6212,486660
238,600,494660,6212,494660
239,602,495210,6212,495210
239,602,496020,6212,496020
239,602,496020,6212,496020
239,602,497020,6212,497020
239,602,498020,6212,498020
239,602,498020,6212,498020
239,602,499020,6212,499020
240,604,500020,6212,500020
240,604,500250,6212,500250
240,604,501250,6212,501250
240,604,501410,6212,501410
241,608,502410,6212,502410
242,616,503410,6212,503410
242,616,504410,6212,504410
243,618,504880,6212,504880
243,618,505350,6212,505350
243,618,505820,6212,505820
243,618,506820,6212,506820
244,620,507630,6212,507630
244,620,508630,6212,508630
244,620,509630,6212,509630
244,620,509950,6212,509950
244,620,510760,6212,510760
244,620,511080,6212,511080
245,622,511550,6212,511550
245,622,512360,6212,512360
245,622,512830,6212,512830
245,622,513830,6212,513830
246,624,514300,6212,514300
246,624,514300,6212,514300
246,624,514620,6212,514620
246,624,515620,6212,515620
246,624,516620,6212,516620
246,624,517430,6212,517430
246,624,518430,6212,518430
247,626,518900,6212,518900
247,626,519220,6212,519220
247,626,519690,6212,519690
248,628,520500,6212,520500
248,628,520970,6212,520970
249,630,521970,6212,521970
