ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
929726.94,15.61,1.99,192165.0,3.23
929491.88,15.61,1.99,191989.02,3.22
929369.99,15.61,1.99,192925.08,3.24
929369.99,15.61,1.99,192925.08,3.24
929557.48,15.61,1.99,192521.8,3.23
929400.33,15.61,1.99,192195.23,3.23
929586.85,15.62,2.0,192329.58,3.23
930054.79,15.63,2.01,192407.7,3.23
929747.13,15.63,2.01,192481.95,3.23
929968.45,15.63,2.01,192510.1,3.24
929614.75,15.63,2.01,191981.48,3.23
929666.69,15.63,2.01,192204.49,3.23
929369.16,15.63,2.01,192061.64,3.23
929590.48,15.63,2.01,192014.58,3.23
929454.28,15.63,2.01,191865.62,3.23
929166.26,15.63,2.01,191570.6,3.22
929034.96,15.63,2.01,192061.74,3.23
928940.13,15.63,2.01,191959.5,3.23
928803.92,15.63,2.01,191881.05,3.23
928667.72,15.63,2.01,191836.04,3.23
928724.55,15.63,2.01,192219.13,3.24
928724.55,15.63,2.01,192221.91,3.24
928891.46,15.64,2.02,192226.34,3.24
929063.27,15.64,2.02,192226.09,3.24
929189.47,15.64,2.02,192364.93,3.24
929409.74,15.65,2.03,192166.9,3.24
929251.61,15.65,2.03,192008.76,3.23
928975.45,15.64,2.02,191766.42,3.23
928858.98,15.64,2.02,192739.66,3.25
928714.71,15.64,2.02,192438.89,3.24
928766.64,15.65,2.03,192378.37,3.24
928987.96,15.65,2.03,192366.46,3.24
929039.89,15.65,2.03,192387.0,3.24
928903.69,15.66,2.03,192975.77,3.25
928955.62,15.66,2.04,192915.25,3.25
928658.09,15.65,2.03,192592.38,3.25
928658.09,15.65,2.03,192618.53,3.25
928710.02,15.66,2.04,192623.95,3.25
928710.02,15.66,2.04,192611.41,3.25
928931.35,15.66,2.04,192614.61,3.25
929103.16,15.67,2.05,193530.9,3.26
929053.65,15.67,2.05,193487.11,3.26
929053.65,15.67,2.05,193502.95,3.26
928756.12,15.66,2.04,193175.57,3.26
928649.85,15.66,2.04,193080.72,3.26
928649.85,15.66,2.04,193107.99,3.26
928513.64,15.66,2.04,192925.0,3.25
928275.04,15.66,2.04,192689.93,3.25
928326.98,15.66,2.04,192674.64,3.25
928555.04,15.67,2.05,193196.93,3.26
928606.97,15.67,2.05,193401.86,3.26
928606.97,15.67,2.05,193404.55,3.26
928418.96,15.67,2.05,193223.77,3.26
928418.96,15.67,2.05,193026.26,3.26
928282.75,15.67,2.05,193022.49,3.26
927988.48,15.66,2.04,192940.4,3.26
928249.27,15.67,2.05,192890.46,3.26
928298.49,15.67,2.05,193736.94,3.27
928528.29,15.68,2.06,193579.88,3.27
928749.61,15.68,2.06,193628.3,3.27
928613.41,15.68,2.06,193493.05,3.27
928473.71,15.68,2.06,193377.08,3.27
928156.14,15.68,2.06,193059.69,3.26
928056.7,15.68,2.06,193758.57,3.27
928053.06,15.68,2.06,193475.1,3.27
927916.86,15.68,2.06,193292.1,3.27
927968.79,15.68,2.06,193276.82,3.27
927968.79,15.68,2.06,193254.06,3.27
927832.58,15.68,2.06,193652.19,3.27
928053.91,15.69,2.07,193783.42,3.28
927912.33,15.69,2.07,193757.54,3.28
927776.13,15.69,2.07,193627.12,3.27
927626.54,15.69,2.07,193465.41,3.27
927881.6,15.69,2.07,193859.08,3.28
927881.6,15.69,2.07,193957.04,3.28
928102.92,15.7,2.08,193988.82,3.28
927914.91,15.69,2.07,193774.11,3.28
927617.38,15.69,2.07,193611.92,3.27
927619.24,15.69,2.07,193636.99,3.28
927671.17,15.69,2.07,193879.57,3.28
927675.09,15.69,2.07,193911.92,3.28
927499.86,15.69,2.07,193704.31,3.28
927721.18,15.7,2.08,193736.08,3.28
927423.66,15.69,2.07,193573.89,3.28
927475.59,15.7,2.07,193816.47,3.28
927339.38,15.7,2.08,193786.61,3.28
927391.31,15.7,2.08,193848.31,3.28
927443.25,15.7,2.08,193971.28,3.28
927443.25,15.7,2.08,193998.97,3.28
927446.97,15.7,2.08,194001.34,3.28
927768.61,15.71,2.09,194188.02,3.29
927632.41,15.71,2.09,194168.68,3.29
927496.2,15.71,2.09,194057.6,3.29
927324.0,15.71,2.09,194083.85,3.29
927545.32,15.71,2.09,194115.62,3.29
927409.12,15.71,2.09,194238.77,3.29
927272.91,15.71,2.09,194208.91,3.29
927136.7,15.71,2.09,194108.35,3.29
926839.18,15.71,2.09,193883.01,3.29
927060.5,15.71,2.09,193914.79,3.29
927060.5,15.71,2.09,193963.49,3.29
927112.43,15.72,2.1,194188.93,3.29
926976.23,15.72,2.1,194169.59,3.29
927028.16,15.72,2.1,194220.77,3.29
926891.95,15.72,2.1,194190.92,3.29
927063.76,15.73,2.11,194393.92,3.3
926766.24,15.72,2.1,194248.87,3.3
926578.22,15.72,2.1,194065.3,3.29
926846.35,15.72,2.1,194054.8,3.29
926758.83,15.72,2.1,193934.88,3.29
