ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f495-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f495-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f495-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f495-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f495-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
864321.54,15.12,2.86,786805.94,13.76
864321.54,15.12,2.86,786826.55,13.77
864538.33,15.13,2.86,786975.55,13.77
864538.33,15.13,2.86,786975.55,13.77
864514.25,15.13,2.86,786469.63,13.76
863496.83,15.13,2.87,785658.22,13.77
863182.43,15.13,2.86,785271.95,13.76
863731.05,15.14,2.87,785265.43,13.76
863948.01,15.15,2.88,784932.75,13.76
862966.82,15.15,2.89,784193.47,13.77
862775.77,15.15,2.88,784018.58,13.77
862551.49,15.15,2.88,783832.18,13.77
862802.04,15.15,2.89,783818.64,13.77
862386.71,15.15,2.89,783457.35,13.76
861850.79,15.14,2.88,782926.95,13.76
861626.52,15.14,2.88,783020.48,13.76
862099.22,15.15,2.89,782943.56,13.76
861727.62,15.15,2.88,782572.26,13.76
862313.32,15.16,2.9,782664.38,13.76
862313.32,15.16,2.9,782643.77,13.76
862313.32,15.16,2.9,782665.98,13.76
862122.26,15.16,2.89,782481.29,13.76
861897.98,15.16,2.89,782304.69,13.76
861706.93,15.16,2.89,782040.86,13.76
861924.26,15.16,2.9,782384.35,13.76
861733.2,15.16,2.9,782199.65,13.76
861837.67,15.17,2.9,782346.88,13.77
862041.04,15.17,2.91,782052.96,13.76
861296.79,15.16,2.9,781308.71,13.75
861845.41,15.17,2.91,781302.19,13.75
861546.67,15.17,2.9,780938.41,13.75
861355.61,15.17,2.9,780753.72,13.75
861131.34,15.17,2.9,780577.12,13.75
860548.35,15.16,2.89,779938.08,13.74
860007.68,15.15,2.89,779345.08,13.73
859247.64,15.15,2.88,778510.45,13.73
858711.72,15.14,2.88,777980.04,13.72
858412.98,15.14,2.87,777686.22,13.71
857395.56,15.14,2.88,776874.81,13.72
857809.03,15.15,2.88,777027.33,13.72
857606.24,15.14,2.88,776885.78,13.72
856794.16,15.14,2.88,775393.24,13.7
856412.56,15.14,2.87,775008.13,13.7
856412.56,15.14,2.87,774997.06,13.7
856208.47,15.13,2.87,774794.5,13.69
856459.02,15.14,2.87,774780.97,13.69
856234.75,15.14,2.87,774809.81,13.7
856043.69,15.14,2.87,774634.92,13.7
855819.42,15.14,2.87,774448.52,13.7
855404.09,15.13,2.87,774087.23,13.69
855607.45,15.14,2.87,773793.3,13.69
855810.82,15.15,2.88,773499.38,13.69
855619.77,15.14,2.88,773239.71,13.69
855395.49,15.14,2.88,773138.09,13.69
855204.43,15.14,2.88,772963.2,13.69
854789.1,15.14,2.88,772601.91,13.69
