ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
325,810,569520,6212,569520
325,810,570520,6212,570520
326,812,570990,6212,570990
326,812,571460,6212,571460
327,814,572460,6212,572460
327,814,573460,6212,573460
327,814,573460,6212,573460
327,814,573930,6212,573930
328,816,574930,6212,574930
328,816,575740,6212,575740
329,818,576740,6212,576740
329,818,576740,6212,576740
329,818,577740,6212,577740
329,818,577740,6212,577740
330,820,578740,6212,578740
330,820,578740,6212,578740
330,820,579210,6212,579210
330,820,580210,6212,580210
331,822,581020,6212,581020
331,822,582020,6212,582020
332,824,583020,6212,583020
333,832,583020,6212,583020
333,832,583830,6212,583830
334,834,584640,6212,584640
334,834,585110,6212,585110
334,834,585110,6212,585110
334,834,586110,6212,586110
334,834,586110,6212,586110
334,834,586460,6212,586460
335,836,587460,6212,587460
335,836,587460,6212,587460
336,838,588460,6212,588460
336,838,589460,6212,589460
337,840,590050,6212,590050
337,840,590370,6212,590370
338,842,591370,6212,591370
338,842,591830,6212,591830
338,842,592830,6212,592830
338,842,593300,6212,593300
338,842,593300,6212,593300
339,844,593620,6212,593620
340,846,594620,6212,594620
340,846,595620,6212,595620
