ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
315,764,629550,6212,629550
315,764,630550,6212,630550
315,764,630550,6212,630550
316,766,631200,6212,631200
316,766,632200,6212,632200
317,768,632670,6212,632670
317,768,633670,6212,633670
318,770,634670,6212,634670
318,770,635670,6212,635670
319,772,636670,6212,636670
319,772,637670,6212,637670
320,774,638480,6212,638480
320,774,639480,6212,639480
321,776,640290,6212,640290
321,776,641290,6212,641290
322,778,642100,6212,642100
322,778,642100,6212,642100
322,778,643100,6212,643100
323,780,644100,6212,644100
323,780,644570,6212,644570
323,780,645040,6212,645040
324,782,646040,6212,646040
324,782,646360,6212,646360
324,782,647170,6212,647170
324,782,647170,6212,647170
325,784,647980,6212,647980
325,784,648980,6212,648980
326,786,649980,6212,649980
326,786,650980,6212,650980
326,786,650980,6212,650980
327,788,651570,6212,651570
327,788,652380,6212,652380
327,788,652850,6212,652850
328,790,653320,6212,653320
328,790,653320,6212,653320
328,790,653790,6212,653790
328,790,654790,6212,654790
329,792,655790,6212,655790
329,792,656790,6212,656790
330,794,657600,6212,657600
330,794,658070,6212,658070
330,794,658070,6212,658070
331,796,658620,6212,658620
331,796,659090,6212,659090
331,796,660090,6212,660090
331,796,660410,6212,660410
332,798,661410,6212,661410
332,798,662410,6212,662410
333,800,663410,6212,663410
333,800,664220,6212,664220
334,802,665220,6212,665220
334,802,666220,6212,666220
334,802,666220,6212,666220
334,802,666540,6212,666540
335,804,667540,6212,667540
335,804,668130,6212,668130
336,806,669130,6212,669130
336,806,670130,6212,670130
336,806,670450,6212,670450
337,808,671450,6212,671450
337,808,672450,6212,672450
338,810,672920,6212,672920
338,810,673920,6212,673920
338,810,673920,6212,673920
339,812,674730,6212,674730
339,812,675200,6212,675200
339,812,675200,6212,675200
339,812,676200,6212,676200
340,814,676670,6212,676670
340,814,677130,6212,677130
340,814,678130,6212,678130
341,816,679130,6212,679130
341,816,680130,6212,680130
341,816,680130,6212,680130
342,818,681130,6212,681130
342,818,682130,6212,682130
343,820,683130,6212,683130
343,820,683130,6212,683130
343,820,684130,6212,684130
344,822,685130,6212,685130
345,830,693130,6212,693130
345,830,693130,6212,693130
345,830,694130,6212,694130
346,832,694780,6212,694780
346,832,695780,6212,695780
347,834,696590,6212,696590
347,834,697590,6212,697590
347,834,697910,6212,697910
347,834,697910,6212,697910
348,836,698720,6212,698720
348,836,699720,6212,699720
348,836,699720,6212,699720
349,838,700720,6212,700720
349,838,701530,6212,701530
350,840,702180,6212,702180
350,840,702990,6212,702990
351,842,703990,6212,703990
351,842,704990,6212,704990
352,844,705990,6212,705990
352,844,705990,6212,705990
352,844,706310,6212,706310
352,844,706780,6212,706780
353,846,707590,6212,707590
353,846,708400,6212,708400
353,846,708870,6212,708870
354,848,709340,6212,709340
354,848,709340,6212,709340
354,848,709810,6212,709810
354,848,710810,6212,710810
355,850,711810,6212,711810
355,850,712810,6212,712810
356,852,713810,6212,713810
356,852,713810,6212,713810
356,852,713810,6212,713810
356,852,714810,6212,714810
357,854,715810,6212,715810
357,854,716810,6212,716810
358,856,717810,6212,717810
358,856,718620,6212,718620
359,858,719620,6212,719620
359,858,720620,6212,720620
360,860,721620,6212,721620
360,860,722620,6212,722620
361,862,723430,6212,723430
361,862,724430,6212,724430
362,864,725430,6212,725430
362,864,726430,6212,726430
363,866,727240,6212,727240
363,866,727240,6212,727240
363,866,728240,6212,728240
364,868,729240,6212,729240
364,868,729710,6212,729710
365,870,730300,6212,730300
365,870,731300,6212,731300
365,870,731300,6212,731300
366,872,732300,6212,732300
366,872,733300,6212,733300
367,874,734300,6212,734300
367,874,734300,6212,734300
367,874,735110,6212,735110
367,874,735110,6212,735110
367,874,735110,6212,735110
367,874,735110,6212,735110
367,874,735570,6212,735570
368,876,736570,6212,736570
368,876,737570,6212,737570
368,876,737790,6212,737790
369,878,738260,6212,738260
369,878,738260,6212,738260
369,878,738730,6212,738730
369,878,739730,6212,739730
369,878,739730,6212,739730
370,880,740730,6212,740730
370,880,741730,6212,741730
370,880,741730,6212,741730
371,882,742730,6212,742730
371,882,742840,6212,742840
371,882,743840,6212,743840
372,884,744840,6212,744840
372,884,744840,6212,744840
372,884,745840,6212,745840
373,886,746310,6212,746310
373,886,746310,6212,746310
373,886,747310,6212,747310
374,888,748120,6212,748120
374,888,748120,6212,748120
374,888,748930,6212,748930
375,890,749930,6212,749930
375,890,750930,6212,750930
375,890,750930,6212,750930
375,890,751400,6212,751400
376,892,752400,6212,752400
376,892,752400,6212,752400
376,892,752400,6212,752400
376,892,753400,6212,753400
377,894,753870,6212,753870
377,894,754870,6212,754870
377,894,755190,6212,755190
378,896,756000,6212,756000
