ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
892448.83,15.4,2.06,306629.96,5.29
892627.23,15.4,2.06,306894.79,5.3
892478.76,15.4,2.06,306868.25,5.3
892330.29,15.4,2.06,306766.64,5.3
892181.82,15.4,2.06,306653.53,5.29
892451.05,15.41,2.07,307054.48,5.3
892302.58,15.41,2.07,307027.94,5.3
892154.11,15.41,2.07,306926.33,5.3
891857.24,15.41,2.06,306633.46,5.3
892142.6,15.41,2.07,306705.62,5.3
891994.13,15.41,2.07,306868.43,5.3
891845.66,15.41,2.07,306755.32,5.3
891845.66,15.41,2.07,306755.32,5.3
891548.79,15.41,2.06,306463.64,5.3
891589.02,15.41,2.07,306633.75,5.3
891589.02,15.41,2.07,306633.75,5.3
891440.55,15.41,2.07,306607.21,5.3
891618.95,15.42,2.07,306785.77,5.3
891659.18,15.42,2.07,306865.88,5.31
891699.41,15.42,2.08,306984.32,5.31
890631.94,15.42,2.08,306766.55,5.31
890483.47,15.42,2.08,306653.62,5.31
890334.99,15.42,2.08,306638.4,5.31
890334.99,15.42,2.08,306638.4,5.31
890375.23,15.43,2.08,306718.51,5.31
890168.36,15.42,2.08,306558.35,5.31
889585.65,15.42,2.07,305975.64,5.3
889437.18,15.42,2.07,305930.73,5.3
889288.71,15.42,2.07,305887.84,5.3
888914.88,15.41,2.07,305584.73,5.3
888766.41,15.41,2.07,305499.48,5.3
888766.41,15.41,2.07,305499.48,5.3
889051.77,15.42,2.07,305586.76,5.3
888903.3,15.42,2.07,305734.44,5.3
888754.83,15.42,2.07,305622.58,5.3
888795.06,15.42,2.08,305791.44,5.31
888421.23,15.41,2.07,305488.33,5.3
888461.46,15.42,2.07,305568.45,5.3
888746.82,15.42,2.08,305853.47,5.31
888598.35,15.42,2.08,305781.02,5.31
888301.48,15.42,2.08,305490.5,5.3
888301.48,15.42,2.08,305490.5,5.3
888341.71,15.42,2.08,305598.16,5.31
888193.24,15.42,2.08,305571.62,5.31
888044.77,15.42,2.08,305470.01,5.31
888044.77,15.42,2.08,305470.01,5.31
888314.0,15.43,2.09,305363.67,5.3
888354.24,15.43,2.09,305943.02,5.31
888205.76,15.43,2.09,305831.44,5.31
888057.29,15.43,2.09,305814.88,5.31
887908.82,15.43,2.09,305702.46,5.31
887760.35,15.43,2.09,305686.73,5.31
887611.88,15.43,2.09,305573.62,5.31
887652.11,15.44,2.09,305743.73,5.32
887692.35,15.44,2.09,305823.85,5.32
887543.87,15.44,2.09,305801.66,5.32
887395.4,15.44,2.09,305729.21,5.32
887246.93,15.44,2.09,305673.52,5.32
887098.46,15.44,2.09,305646.98,5.32
887138.69,15.44,2.1,305708.72,5.32
886764.86,15.44,2.09,305459.06,5.32
886616.39,15.44,2.09,305416.39,5.32
886467.92,15.44,2.09,305330.91,5.32
886467.92,15.44,2.09,305330.91,5.32
886467.92,15.44,2.09,305330.91,5.32
