ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
350,954,880760,6212,880760
351,956,881230,6212,881230
351,956,882230,6212,882230
352,958,883230,6212,883230
352,958,883230,6212,883230
352,958,884040,6212,884040
353,960,886040,6212,886040
354,962,887040,6212,887040
354,962,887040,6212,887040
354,962,887500,6212,887500
354,962,888090,6212,888090
354,962,888090,6212,888090
355,970,896090,6212,896090
355,970,896090,6212,896090
355,970,896320,6212,896320
355,970,896320,6212,896320
356,972,896970,6212,896970
356,972,897780,6212,897780
357,976,898240,6212,898240
358,978,899240,6212,899240
358,978,899710,6212,899710
358,978,900030,6212,900030
358,978,901030,6212,901030
359,980,901840,6212,901840
359,980,902650,6212,902650
360,982,903120,6212,903120
360,982,904120,6212,904120
360,982,906120,6212,906120
361,984,907120,6212,907120
361,984,907590,6212,907590
361,984,908590,6212,908590
361,984,908590,6212,908590
361,984,908590,6212,908590
361,984,908590,6212,908590
362,986,909590,6212,909590
362,986,910060,6212,910060
363,988,911060,6212,911060
363,988,911530,6212,911530
363,988,912000,6212,912000
364,990,913000,6212,913000
364,990,914000,6212,914000
365,992,915000,6212,915000
365,992,916000,6212,916000
366,994,917000,6212,917000
366,994,918000,6212,918000
366,994,918000,6212,918000
367,996,919000,6212,919000
367,996,919590,6212,919590
368,998,920400,6212,920400
369,1006,928400,6212,928400
369,1006,929400,6212,929400
370,1010,933400,6212,933400
370,1010,933400,6212,933400
371,1012,934050,6212,934050
371,1012,934700,6212,934700
372,1014,935700,6212,935700
372,1014,936700,6212,936700
373,1016,937700,6212,937700
374,1024,945700,6212,945700
375,1028,949700,6212,949700
375,1028,949920,6212,949920
375,1028,950140,6212,950140
375,1028,951140,6212,951140
376,1036,959140,6212,959140
376,1036,959140,6212,959140
376,1036,959610,6212,959610
377,1038,960610,6212,960610
378,1046,968610,6212,968610
379,1050,972610,6212,972610
379,1050,973610,6212,973610
380,1052,974420,6212,974420
380,1052,974420,6212,974420
381,1054,975420,6212,975420
381,1054,975420,6212,975420
381,1054,975890,6212,975890
381,1054,976350,6212,976350
382,1062,984350,6212,984350
382,1062,985350,6212,985350
382,1062,985350,6212,985350
383,1064,985820,6212,985820
383,1064,986820,6212,986820
383,1064,987820,6212,987820
