ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
835817.28,14.43,2.17,757002.17,13.07
835593.01,14.43,2.17,756865.83,13.07
835401.95,14.43,2.16,756681.13,13.07
834641.9,14.43,2.16,755846.5,13.06
834417.63,14.42,2.16,755669.9,13.06
834226.57,14.42,2.16,755495.01,13.06
834002.3,14.42,2.16,755308.61,13.06
834232.6,14.43,2.16,756945.05,13.09
833851.0,14.42,2.16,756563.76,13.09
833659.94,14.42,2.16,756379.06,13.08
833877.27,14.43,2.16,756579.07,13.09
834014.95,14.43,2.17,756473.37,13.09
833599.62,14.43,2.16,756112.08,13.09
833597.37,14.43,2.17,756052.64,13.09
833215.77,14.43,2.16,755736.04,13.08
833433.1,14.43,2.17,756105.74,13.09
833433.1,14.43,2.17,756105.74,13.09
833397.63,14.43,2.17,756134.9,13.09
833590.57,14.44,2.17,754936.63,13.07
833399.52,14.44,2.17,754676.96,13.07
833017.91,14.43,2.17,754433.87,13.07
832982.45,14.43,2.17,754518.05,13.07
832791.39,14.43,2.17,754258.39,13.07
832376.06,14.43,2.16,753897.09,13.07
832593.39,14.43,2.17,754237.74,13.07
832591.14,14.44,2.17,754178.3,13.08
832366.87,14.43,2.17,754063.04,13.08
832504.55,14.44,2.17,753957.35,13.08
832089.22,14.44,2.17,753596.06,13.07
832086.97,14.44,2.17,753536.62,13.07
831862.7,14.44,2.17,753400.27,13.07
831563.96,14.43,2.17,753108.06,13.07
831182.35,14.43,2.16,752725.79,13.06
830958.08,14.43,2.16,752794.14,13.07
830958.08,14.43,2.16,752794.14,13.07
830958.08,14.43,2.16,752794.14,13.07
830542.75,14.42,2.16,752432.84,13.07
829561.56,14.43,2.16,751693.56,13.07
829561.56,14.43,2.16,751693.56,13.07
829370.51,14.43,2.16,751508.86,13.07
829587.84,14.43,2.17,751708.87,13.08
829779.73,14.43,2.17,751490.87,13.07
829884.2,14.44,2.17,752068.36,13.08
829881.95,14.44,2.18,752008.92,13.09
829657.67,14.44,2.17,751892.87,13.09
829657.67,14.44,2.17,751892.87,13.09
829657.67,14.44,2.17,751892.87,13.09
829655.43,14.44,2.18,751833.43,13.09
829431.15,14.44,2.17,751697.08,13.09
829383.54,14.44,2.17,751649.46,13.09
829192.48,14.44,2.17,751389.8,13.08
828968.2,14.44,2.17,751288.17,13.08
828965.96,14.44,2.17,751228.73,13.08
828907.03,14.44,2.17,750731.29,13.08
828595.01,14.44,2.17,750825.7,13.08
828390.93,14.43,2.17,750604.21,13.08
828166.66,14.43,2.17,750488.16,13.08
827785.05,14.43,2.16,750171.55,13.07
827782.8,14.43,2.16,750112.12,13.07
827367.47,14.43,2.16,749750.82,13.07
827143.2,14.43,2.16,749614.48,13.07
827141.99,14.43,2.16,749040.59,13.06
826950.94,14.43,2.16,748782.04,13.06
826950.94,14.43,2.16,748782.04,13.06
826950.94,14.43,2.16,748782.04,13.06
826726.66,14.43,2.16,748679.29,13.06
826535.61,14.42,2.16,748419.63,13.06
826120.27,14.42,2.16,748058.34,13.06
825896.0,14.42,2.16,747956.71,13.06
825896.0,14.42,2.16,747956.71,13.06
825704.94,14.42,2.15,747704.79,13.06
826034.59,14.43,2.16,747568.02,13.06
825999.12,14.43,2.16,747644.46,13.06
824981.7,14.43,2.17,746833.05,13.06
824957.61,14.43,2.17,746327.13,13.06
824957.61,14.43,2.17,746327.13,13.06
824576.01,14.43,2.16,746076.05,13.05
824576.01,14.43,2.16,746076.05,13.05
824450.42,14.43,2.16,745874.5,13.05
823432.99,14.43,2.16,745063.1,13.06
823225.33,14.43,2.16,745192.66,13.06
823363.01,14.43,2.17,745110.35,13.06
823171.95,14.43,2.17,744850.69,13.06
822190.77,14.43,2.17,744111.4,13.06
821966.5,14.43,2.17,744009.77,13.06
821742.22,14.43,2.17,744085.74,13.07
822071.86,14.44,2.17,743948.97,13.07
821656.53,14.44,2.17,743587.68,13.06
821654.28,14.44,2.17,743528.24,13.07
821430.01,14.44,2.17,743412.19,13.07
821222.34,14.44,2.17,743119.02,13.06
820850.74,14.43,2.17,743297.61,13.07
821101.29,14.44,2.17,743278.32,13.07
821101.29,14.44,2.17,743253.81,13.07
821101.29,14.44,2.17,743253.81,13.07
820910.23,14.43,2.17,743069.12,13.07
820685.96,14.43,2.17,742892.52,13.07
820461.68,14.43,2.17,743030.15,13.07
820080.08,14.43,2.16,742645.16,13.06
819889.02,14.43,2.16,742460.46,13.06
819993.49,14.43,2.16,742607.6,13.07
819802.43,14.43,2.16,742432.71,13.07
819578.16,14.43,2.16,742246.31,13.07
819715.84,14.43,2.17,742140.61,13.07
819417.1,14.43,2.16,741846.67,13.06
819192.82,14.43,2.16,741914.81,13.06
819001.77,14.42,2.16,741655.15,13.06
818777.49,14.42,2.16,741553.52,13.06
818775.25,14.43,2.16,741494.08,13.06
818015.2,14.42,2.16,740659.45,13.06
818092.04,14.43,2.16,740496.59,13.06
817793.3,14.42,2.16,740227.73,13.05
816775.88,14.42,2.16,739416.33,13.06
816775.88,14.42,2.16,739416.33,13.06
816567.14,14.42,2.16,739178.36,13.05
815832.18,14.42,2.15,738530.37,13.05
816049.51,14.42,2.16,738740.12,13.06
816049.51,14.42,2.16,738740.12,13.06
815840.77,14.42,2.15,738536.38,13.05
815459.17,14.41,2.15,738269.25,13.05
815268.11,14.41,2.15,738094.36,13.05
