ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
309,826,679490,6212,679490
310,828,680490,6212,680490
310,828,680810,6212,680810
310,828,681360,6212,681360
311,836,689360,6212,689360
311,836,689360,6212,689360
312,838,690170,6212,690170
313,842,694170,6212,694170
313,842,694170,6212,694170
313,842,695170,6212,695170
314,844,696170,6212,696170
314,844,697170,6212,697170
314,844,697640,6212,697640
315,846,698450,6212,698450
315,846,698770,6212,698770
315,846,699770,6212,699770
315,846,699990,6212,699990
316,848,701990,6212,701990
317,856,709990,6212,709990
318,864,717990,6212,717990
319,866,718990,6212,718990
319,866,719990,6212,719990
320,868,720990,6212,720990
320,868,721990,6212,721990
321,870,722990,6212,722990
321,870,723990,6212,723990
322,872,724990,6212,724990
322,872,725460,6212,725460
322,872,725780,6212,725780
323,874,726590,6212,726590
323,874,726910,6212,726910
324,876,727910,6212,727910
324,876,728720,6212,728720
325,878,729530,6212,729530
325,878,729750,6212,729750
325,878,730070,6212,730070
325,878,731070,6212,731070
326,880,732070,6212,732070
326,880,733070,6212,733070
327,882,734070,6212,734070
327,882,734230,6212,734230
327,882,734820,6212,734820
328,884,736820,6212,736820
329,886,737820,6212,737820
329,886,738820,6212,738820
329,886,739040,6212,739040
330,888,739850,6212,739850
330,888,740320,6212,740320
330,888,740640,6212,740640
330,888,741290,6212,741290
330,888,741750,6212,741750
331,890,742560,6212,742560
331,890,743560,6212,743560
332,892,744210,6212,744210
332,892,745210,6212,745210
333,894,746020,6212,746020
333,894,747020,6212,747020
334,896,748020,6212,748020
334,896,748490,6212,748490
334,896,748720,6212,748720
335,898,749720,6212,749720
335,898,749720,6212,749720
335,898,750190,6212,750190
335,898,751190,6212,751190
336,906,759190,6212,759190
337,908,760190,6212,760190
337,908,760660,6212,760660
337,908,761130,6212,761130
338,910,761600,6212,761600
338,910,762600,6212,762600
338,910,763070,6212,763070
339,912,764070,6212,764070
339,912,765070,6212,765070
339,912,765070,6212,765070
339,912,765390,6212,765390
340,914,766390,6212,766390
340,914,766710,6212,766710
340,914,766710,6212,766710
340,914,767710,6212,767710
341,916,768710,6212,768710
341,916,769710,6212,769710
341,916,769710,6212,769710
342,918,770710,6212,770710
342,918,771710,6212,771710
343,920,772710,6212,772710
343,920,773710,6212,773710
344,922,775710,6212,775710
345,924,776180,6212,776180
345,924,777180,6212,777180
346,932,785180,6212,785180
347,934,786180,6212,786180
347,934,787180,6212,787180
348,936,788180,6212,788180
348,936,788990,6212,788990
349,938,789800,6212,789800
349,938,790800,6212,790800
350,940,791800,6212,791800
350,940,792800,6212,792800
351,942,793450,6212,793450
351,942,794100,6212,794100
351,942,794560,6212,794560
352,944,795370,6212,795370
352,944,795530,6212,795530
352,944,796340,6212,796340
353,946,797150,6212,797150
353,946,798150,6212,798150
354,948,799150,6212,799150
354,948,799470,6212,799470
354,948,800470,6212,800470
355,950,801470,6212,801470
355,950,802280,6212,802280
356,954,806280,6212,806280
357,956,807280,6212,807280
357,956,807500,6212,807500
357,956,808500,6212,808500
357,956,808500,6212,808500
358,958,809500,6212,809500
358,958,809500,6212,809500
359,966,817500,6212,817500
359,966,818500,6212,818500
360,968,819500,6212,819500
360,968,820050,6212,820050
361,970,821050,6212,821050
361,970,821860,6212,821860
362,972,822860,6212,822860
362,972,823860,6212,823860
363,974,824330,6212,824330
363,974,825330,6212,825330
364,976,826330,6212,826330
364,976,827330,6212,827330
365,978,828330,6212,828330
365,978,828330,6212,828330
365,978,828800,6212,828800
365,978,829800,6212,829800
366,980,830800,6212,830800
366,980,830800,6212,830800
366,980,831800,6212,831800
367,982,832610,6212,832610
368,990,840610,6212,840610
368,990,841610,6212,841610
368,990,841610,6212,841610
369,992,842420,6212,842420
369,992,843420,6212,843420
370,994,844420,6212,844420
370,994,845420,6212,845420
371,996,846230,6212,846230
371,996,846230,6212,846230
371,996,846230,6212,846230
371,996,847230,6212,847230
372,998,848230,6212,848230
372,998,849230,6212,849230
373,1000,850230,6212,850230
373,1000,850230,6212,850230
373,1000,850230,6212,850230
373,1000,851040,6212,851040
374,1002,851510,6212,851510
374,1002,852320,6212,852320
375,1004,853320,6212,853320
375,1004,854320,6212,854320
375,1004,854550,6212,854550
376,1006,855550,6212,855550
376,1006,856200,6212,856200
377,1008,857200,6212,857200
377,1008,857850,6212,857850
378,1016,865850,6212,865850
378,1016,866220,6212,866220
378,1016,866220,6212,866220
378,1016,866220,6212,866220
378,1016,866220,6212,866220
379,1018,867220,6212,867220
379,1018,868030,6212,868030
380,1020,869030,6212,869030
380,1020,869840,6212,869840
381,1022,870650,6212,870650
381,1022,870970,6212,870970
381,1022,871290,6212,871290
381,1022,872290,6212,872290
382,1030,880290,6212,880290
382,1030,880760,6212,880760
383,1032,881230,6212,881230
383,1032,882230,6212,882230
384,1034,883230,6212,883230
384,1034,883230,6212,883230
384,1034,884040,6212,884040
385,1036,886040,6212,886040
386,1038,887040,6212,887040
386,1038,887040,6212,887040
386,1038,887500,6212,887500
386,1038,888090,6212,888090
386,1038,888090,6212,888090
387,1046,896090,6212,896090
387,1046,896090,6212,896090
387,1046,896320,6212,896320
387,1046,896320,6212,896320
388,1048,896970,6212,896970
388,1048,897780,6212,897780
389,1050,898240,6212,898240
389,1050,899240,6212,899240
389,1050,899710,6212,899710
389,1050,900030,6212,900030
390,1052,901030,6212,901030
390,1052,901840,6212,901840
391,1054,902650,6212,902650
391,1054,903120,6212,903120
392,1056,904120,6212,904120
393,1058,906120,6212,906120
