ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_ratio,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_q124,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_ratio
1757850.0,29.93,1.32,199947.9,3.4
1757551.87,29.93,1.32,199916.47,3.4
1757768.31,29.93,1.32,199987.43,3.41
1757470.19,29.93,1.32,199951.79,3.41
1757500.14,29.94,1.32,199955.47,3.41
1757514.6,29.94,1.32,199943.65,3.41
1757299.11,29.94,1.32,199880.59,3.41
1757329.06,29.94,1.32,199892.84,3.41
1757113.57,29.94,1.32,199885.47,3.41
1757113.57,29.94,1.32,199830.44,3.4
1757033.63,29.94,1.33,199839.39,3.41
1756748.54,29.94,1.33,199890.99,3.41
1757066.12,29.95,1.33,199857.56,3.41
1756781.03,29.95,1.33,199585.84,3.4
1756660.55,29.95,1.34,199054.21,3.39
1756540.07,29.95,1.34,198846.33,3.39
1756570.02,29.95,1.34,198858.58,3.39
1756354.53,29.95,1.34,198795.51,3.39
1756638.81,29.96,1.35,199050.66,3.4
1756423.31,29.96,1.35,198987.4,3.39
1756206.27,29.96,1.35,199005.92,3.4
1757536.42,29.99,1.37,200092.13,3.41
1757843.77,29.99,1.37,200032.22,3.41
1757545.64,29.99,1.37,200007.63,3.41
1757277.46,29.99,1.38,200004.34,3.41
1757277.46,29.99,1.38,200087.0,3.42
1757061.97,30.0,1.38,200079.63,3.42
1756793.8,30.0,1.38,200080.07,3.42
1756683.9,30.0,1.38,200065.46,3.42
1756466.86,30.0,1.38,200578.91,3.43
1756496.81,30.0,1.38,200591.16,3.43
1756281.32,30.0,1.38,200527.64,3.43
1756013.15,30.0,1.38,200532.16,3.43
1755797.65,30.0,1.38,200469.1,3.43
1755944.33,30.01,1.39,200443.69,3.43
1755646.2,30.01,1.39,200407.11,3.43
1755348.07,30.01,1.39,200383.3,3.43
1755320.54,30.01,1.39,200479.43,3.43
1754883.62,30.01,1.39,200070.41,3.42
1754575.68,30.01,1.39,200932.11,3.44
1754575.68,30.01,1.39,200875.97,3.44
1754581.88,30.01,1.39,201638.4,3.45
1754313.71,30.01,1.39,201642.92,3.45
1754690.25,30.02,1.39,201663.61,3.45
1754474.76,30.02,1.39,201600.17,3.45
1754181.15,30.02,1.39,201607.4,3.45
1753707.37,30.02,1.39,200990.51,3.44
1753814.93,30.02,1.39,201298.19,3.45
1753814.93,30.02,1.39,201240.73,3.44
1753546.75,30.02,1.4,201241.17,3.45
1753331.26,30.02,1.4,201246.43,3.45
1753516.28,30.03,1.4,201246.91,3.45
1753028.99,30.02,1.4,200716.86,3.44
1752813.49,30.03,1.4,200722.11,3.44
1752521.05,30.03,1.4,200712.08,3.44
1752252.87,30.03,1.4,200704.73,3.44
1752035.83,30.03,1.4,200985.97,3.44
1752006.75,30.03,1.4,201143.93,3.45
1752006.75,30.03,1.4,201087.87,3.45
1751791.26,30.03,1.4,201024.36,3.45
1751578.09,30.03,1.4,201008.49,3.45
1751362.59,30.04,1.4,200944.99,3.45
1751503.47,30.04,1.41,201012.1,3.45
1751287.97,30.04,1.41,200948.58,3.45
1750994.37,30.04,1.41,200951.73,3.45
