ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
261,602,467610,6212,467610
261,602,467610,6212,467610
262,604,468080,6212,468080
263,606,469080,6212,469080
263,606,469550,6212,469550
263,606,470550,6212,470550
263,606,471020,6212,471020
264,608,472020,6212,472020
264,608,473020,6212,473020
264,608,473020,6212,473020
264,608,473490,6212,473490
265,610,474490,6212,474490
266,612,475300,6212,475300
266,612,475300,6212,475300
266,612,475780,6212,475780
267,614,476780,6212,476780
268,616,477430,6212,477430
268,616,478430,6212,478430
269,618,479430,6212,479430
269,618,480240,6212,480240
270,620,481050,6212,481050
270,620,482050,6212,482050
270,620,482050,6212,482050
270,620,482520,6212,482520
271,622,483520,6212,483520
271,622,484330,6212,484330
271,622,484330,6212,484330
271,622,484330,6212,484330
271,622,484330,6212,484330
271,622,484330,6212,484330
271,622,485330,6212,485330
271,622,485330,6212,485330
272,624,486330,6212,486330
273,626,487330,6212,487330
273,626,487330,6212,487330
274,628,487800,6212,487800
275,630,488800,6212,488800
275,630,489800,6212,489800
275,630,490800,6212,490800
275,630,491610,6212,491610
275,630,491610,6212,491610
275,630,491610,6212,491610
276,632,492200,6212,492200
277,634,493200,6212,493200
277,634,493200,6212,493200
277,634,493200,6212,493200
278,636,494200,6212,494200
278,636,495200,6212,495200
279,638,496200,6212,496200
279,638,497010,6212,497010
280,640,497820,6212,497820
280,640,497820,6212,497820
280,640,498140,6212,498140
280,640,499140,6212,499140
280,640,499950,6212,499950
280,640,499950,6212,499950
280,640,499950,6212,499950
280,640,500420,6212,500420
281,642,501230,6212,501230
281,642,501700,6212,501700
282,650,501700,6212,501700
283,652,502700,6212,502700
284,654,503510,6212,503510
284,654,503980,6212,503980
285,656,505980,6212,505980
285,656,506790,6212,506790
285,656,507110,6212,507110
286,658,507920,6212,507920
287,660,508920,6212,508920
287,660,509920,6212,509920
288,662,510920,6212,510920
288,662,511730,6212,511730
288,662,512100,6212,512100
289,664,512570,6212,512570
289,664,512570,6212,512570
289,664,513570,6212,513570
290,666,514570,6212,514570
291,668,515380,6212,515380
291,668,516190,6212,516190
291,668,517190,6212,517190
291,668,517190,6212,517190
292,670,518000,6212,518000
292,670,518000,6212,518000
292,670,519000,6212,519000
292,670,519000,6212,519000
292,670,519810,6212,519810
293,672,520810,6212,520810
294,674,521040,6212,521040
294,674,521850,6212,521850
294,674,522850,6212,522850
294,674,523850,6212,523850
295,676,524850,6212,524850
295,676,525850,6212,525850
296,678,526850,6212,526850
296,678,526850,6212,526850
297,680,527660,6212,527660
297,680,528130,6212,528130
297,680,528600,6212,528600
297,680,529600,6212,529600
297,680,530600,6212,530600
297,680,530830,6212,530830
298,682,531830,6212,531830
299,684,532640,6212,532640
300,692,532640,6212,532640
300,692,533450,6212,533450
301,694,534260,6212,534260
301,694,535260,6212,535260
301,694,535730,6212,535730
301,694,536730,6212,536730
302,696,537730,6212,537730
302,696,538380,6212,538380
302,696,539380,6212,539380
302,696,540380,6212,540380
303,698,540840,6212,540840
303,698,540840,6212,540840
304,700,541840,6212,541840
304,700,542840,6212,542840
304,700,543390,6212,543390
304,700,543620,6212,543620
305,702,544620,6212,544620
305,702,545620,6212,545620
306,704,546620,6212,546620
307,706,547620,6212,547620
307,706,548620,6212,548620
308,708,549620,6212,549620
308,708,549620,6212,549620
