ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
302,764,610390,6212,616500
302,764,611200,6212,617310
303,766,612200,6212,618310
303,766,613010,6212,619120
303,766,613330,6212,619440
303,766,613330,6212,619440
304,768,614140,6212,620250
304,768,614950,6212,621060
304,768,614950,6212,621060
304,768,614950,6212,621060
305,770,615760,6212,621870
305,770,616760,6212,622870
305,770,616760,6212,623680
305,770,617080,6212,624000
305,770,617890,6212,624810
305,770,618890,6212,625810
305,770,618890,6212,626620
305,770,619890,6212,627620
305,770,620890,6212,628620
305,770,620890,6212,628940
305,770,621890,6212,629940
306,772,622350,6212,630400
306,772,623350,6212,631400
307,774,624160,6212,632210
307,774,625160,6212,633210
308,776,626160,6212,634210
308,776,627160,6212,635210
308,776,627160,6212,635210
309,778,627970,6212,636020
309,778,628970,6212,637020
309,778,628970,6212,637020
310,780,629970,6212,638020
310,780,630780,6212,638830
311,782,631780,6212,639830
311,782,632780,6212,640830
312,790,633780,6212,641830
313,792,634590,6212,642640
313,792,635400,6212,643450
313,792,635620,6212,643670
313,792,636620,6212,644670
313,792,637080,6212,645130
313,792,637080,6212,645940
313,792,638080,6212,646940
314,794,639080,6212,647940
315,802,640080,6212,648940
