ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_988f-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_988f-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_ratio,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_988f-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_q124,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_988f-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_988f-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_ratio
839749.38,14.09,0.5,219446.23,3.68
839613.47,14.09,0.5,219521.68,3.68
839652.08,14.09,0.5,219314.17,3.68
839702.53,14.09,0.5,219275.69,3.68
839752.98,14.1,0.51,219263.7,3.68
839991.66,14.1,0.51,219238.72,3.68
840042.11,14.1,0.51,219238.72,3.68
840092.56,14.11,0.52,220350.09,3.7
839847.97,14.1,0.51,220082.34,3.7
840033.63,14.11,0.52,220230.7,3.7
839897.72,14.11,0.52,220083.38,3.7
839761.81,14.11,0.52,220083.38,3.7
839921.49,14.11,0.52,220082.96,3.7
839971.94,14.12,0.52,220082.96,3.7
839971.94,14.12,0.52,220150.9,3.7
839836.03,14.12,0.52,220187.17,3.7
839584.46,14.11,0.52,219910.81,3.7
839789.85,14.12,0.53,219881.43,3.7
839653.95,14.12,0.53,219874.54,3.7
839704.4,14.12,0.53,220540.27,3.71
839884.1,14.12,0.53,220596.83,3.71
839884.1,14.12,0.53,220596.83,3.71
839639.51,14.12,0.53,220626.08,3.71
839338.21,14.12,0.53,219903.79,3.7
839082.6,14.11,0.52,220815.37,3.71
839082.6,14.11,0.52,220729.1,3.71
839262.3,14.12,0.53,220870.55,3.72
839262.3,14.12,0.53,221000.67,3.72
839016.69,14.11,0.52,220686.29,3.71
838841.1,14.11,0.52,220614.57,3.71
838891.55,14.11,0.52,220614.52,3.71
839088.12,14.12,0.53,220614.15,3.71
838952.21,14.12,0.53,220641.84,3.71
839002.66,14.12,0.53,220635.72,3.71
839053.11,14.12,0.53,220636.07,3.71
839053.11,14.12,0.53,220549.56,3.71
839053.11,14.12,0.53,220538.38,3.71
838926.61,14.12,0.53,220521.73,3.71
838790.7,14.12,0.53,221555.24,3.73
838841.15,14.13,0.54,221582.33,3.73
838891.6,14.13,0.54,221651.73,3.73
838938.96,14.13,0.54,221310.03,3.73
839135.53,14.14,0.55,221309.61,3.73
839107.08,14.14,0.55,221309.61,3.73
838962.98,14.14,0.55,220926.82,3.72
838813.91,14.13,0.54,220796.48,3.72
838993.62,14.14,0.55,220820.89,3.72
838993.62,14.14,0.55,220784.8,3.72
839199.01,14.14,0.55,220760.4,3.72
839249.46,14.15,0.56,220760.39,3.72
838985.42,14.14,0.55,220760.39,3.72
838729.81,14.14,0.55,221025.89,3.73
