ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_53d2-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_53d2-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_53d2-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_53d2-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_53d2-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
201,440,214310,6212,214310
202,442,215120,6212,215120
202,442,215120,6212,215120
202,442,215440,6212,215440
202,442,215760,6212,215760
202,442,216410,6212,216410
202,442,216880,6212,216880
203,446,217350,6212,217350
203,446,217820,6212,217820
203,446,218170,6212,218170
203,446,218650,6212,218650
203,446,219120,6212,219120
204,448,219930,6212,219930
204,448,220740,6212,220740
205,450,221060,6212,221060
206,454,221710,6212,221710
206,454,222520,6212,222520
206,454,222840,6212,222840
207,458,223070,6212,223070
208,460,223880,6212,223880
208,460,223880,6212,223880
208,460,224040,6212,224040
208,460,224510,6212,224510
208,460,224510,6212,224510
209,462,225320,6212,225320
209,462,226130,6212,226130
210,464,226940,6212,226940
210,464,227170,6212,227170
210,464,227490,6212,227490
210,464,227960,6212,227960
210,464,228510,6212,228510
211,468,229160,6212,229160
211,468,229480,6212,229480
211,468,229710,6212,229710
211,468,230180,6212,230180
211,468,230180,6212,230180
211,468,230500,6212,230500
211,468,230500,6212,230500
211,468,231310,6212,231310
212,472,231780,6212,231780
213,474,232590,6212,232590
213,474,232590,6212,232590
213,474,233400,6212,233400
214,476,234210,6212,234210
214,476,234210,6212,234210
214,476,234530,6212,234530
214,476,235340,6212,235340
214,476,235660,6212,235660
214,476,236310,6212,236310
214,476,236780,6212,236780
214,476,236780,6212,236780
214,476,237250,6212,237250
