ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
1544397.48,25.93,0.36,223610.71,3.75
1544141.74,25.93,0.36,223608.18,3.76
1543886.0,25.93,0.36,223763.02,3.76
1543630.27,25.93,0.36,223710.94,3.76
1543374.53,25.93,0.36,223765.9,3.76
1543374.53,25.93,0.36,223765.9,3.76
1543374.53,25.93,0.36,223765.9,3.76
1543563.98,25.94,0.36,224297.7,3.77
1543493.64,25.94,0.37,223797.25,3.76
1543169.24,25.94,0.37,224090.23,3.77
1542913.5,25.94,0.37,223664.37,3.76
1542987.36,25.94,0.37,224208.76,3.77
1542731.62,25.94,0.37,224371.47,3.77
1542731.62,25.94,0.37,224371.47,3.77
1542487.54,25.94,0.37,224092.47,3.77
1542231.8,25.94,0.37,224114.03,3.77
1542231.8,25.94,0.37,225136.64,3.79
1542379.16,25.95,0.37,224420.87,3.78
1542088.94,25.95,0.37,224567.91,3.78
1541833.2,25.95,0.37,223718.53,3.76
1541833.2,25.95,0.37,223720.97,3.76
1541833.2,25.95,0.37,223695.02,3.76
1541833.2,25.95,0.37,223839.66,3.77
1541577.46,25.95,0.37,223928.74,3.77
1541577.46,25.95,0.37,224075.38,3.77
1541321.72,25.95,0.37,223821.4,3.77
1539275.81,25.95,0.37,223814.0,3.77
1539465.26,25.95,0.38,223539.25,3.77
1539209.52,25.95,0.38,223478.42,3.77
1538953.78,25.95,0.38,223467.63,3.77
1538596.67,25.95,0.37,225011.96,3.79
1538596.67,25.95,0.37,225011.96,3.79
1538340.94,25.95,0.37,225025.55,3.8
1538085.2,25.95,0.37,224968.19,3.8
1537829.46,25.95,0.37,224981.78,3.8
1537145.04,25.94,0.37,224074.86,3.78
1537125.63,25.95,0.37,223585.36,3.77
1536869.89,25.95,0.37,223528.0,3.77
1536614.15,25.95,0.37,223541.59,3.77
1536558.19,25.95,0.38,224163.66,3.79
1536558.19,25.95,0.38,224163.66,3.79
1536302.45,25.95,0.38,224106.3,3.79
1535960.24,25.95,0.38,223656.51,3.78
1535960.24,25.95,0.38,223656.51,3.78
1535704.5,25.95,0.38,223656.51,3.78
1535675.06,25.95,0.38,226063.26,3.82
1535675.06,25.95,0.38,226063.26,3.82
1535675.06,25.95,0.38,226063.26,3.82
1535748.92,25.96,0.38,226063.26,3.82
1535729.51,25.96,0.39,225358.95,3.81
1535673.55,25.96,0.39,225082.48,3.81
1535832.04,25.97,0.39,225110.14,3.81
1535576.3,25.97,0.39,225114.8,3.81
1535576.3,25.97,0.39,225114.8,3.81
1535320.56,25.97,0.39,225112.28,3.81
1535064.83,25.97,0.39,225110.14,3.81
1535064.83,25.97,0.39,225110.14,3.81
1534809.09,25.97,0.39,225259.01,3.81
1534809.09,25.97,0.39,225259.01,3.81
1534564.27,25.97,0.39,224547.62,3.8
1534572.06,25.97,0.4,224503.04,3.8
1534316.32,25.97,0.4,224416.37,3.8
1533996.32,25.97,0.39,224096.37,3.79
1533996.32,25.97,0.39,224096.37,3.79
1534185.77,25.97,0.4,224802.32,3.81
1534185.77,25.97,0.4,224802.32,3.81
1533930.03,25.97,0.4,224794.92,3.81
1533722.69,25.97,0.4,224581.31,3.8
1533466.95,25.97,0.4,224581.31,3.8
1533081.76,25.97,0.39,224155.75,3.8
1533014.88,25.97,0.39,224351.9,3.8
1533204.33,25.97,0.4,224217.77,3.8
1532948.59,25.97,0.4,224155.75,3.8
1532573.4,25.97,0.39,224718.27,3.81
1532506.52,25.97,0.4,224425.5,3.8
1532250.78,25.97,0.4,224281.8,3.8
1532440.24,25.98,0.4,225067.15,3.82
1532184.5,25.98,0.4,225062.28,3.82
1531842.29,25.97,0.4,224432.9,3.81
1531586.55,25.97,0.4,224430.38,3.81
1531330.81,25.98,0.4,224564.26,3.81
1531330.81,25.98,0.4,224564.26,3.81
