ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
136,616,517190,6212,517190
136,616,517190,6212,517190
136,616,517650,6212,517650
136,616,518650,6212,518650
136,616,519120,6212,519120
136,616,519670,6212,519670
137,624,520670,6212,520670
137,624,521670,6212,521670
137,624,522140,6212,522140
137,624,523140,6212,523140
137,624,523140,6212,523140
137,624,524140,6212,524140
137,624,524140,6212,524140
137,624,524140,6212,524140
137,624,524360,6212,524360
137,624,524910,6212,524910
137,624,525910,6212,525910
137,624,525910,6212,525910
137,624,526380,6212,526380
137,624,526380,6212,526380
137,624,526380,6212,526380
137,624,527190,6212,527190
138,626,528190,6212,528190
138,626,529000,6212,529000
139,634,530000,6212,530000
139,634,530000,6212,530000
139,634,530470,6212,530470
139,634,530940,6212,530940
140,636,531750,6212,531750
140,636,532400,6212,532400
140,636,532720,6212,532720
141,638,533720,6212,533720
141,638,533720,6212,533720
141,638,534720,6212,534720
141,638,535720,6212,535720
141,638,536270,6212,536270
141,638,536270,6212,536270
141,638,537270,6212,537270
141,638,538270,6212,538270
141,638,538590,6212,538590
141,638,538810,6212,538810
142,646,539810,6212,539810
142,646,540810,6212,540810
142,646,541810,6212,541810
142,646,541810,6212,541810
142,646,542810,6212,542810
142,646,543620,6212,543620
142,646,544090,6212,544090
142,646,544090,6212,544090
142,646,545090,6212,545090
142,646,546090,6212,546090
142,646,546560,6212,546560
142,646,546880,6212,546880
142,646,547880,6212,547880
142,646,547880,6212,547880
142,646,547880,6212,547880
142,646,548880,6212,548880
142,646,549340,6212,549340
143,654,550340,6212,550340
143,654,550340,6212,550340
143,654,551340,6212,551340
143,654,552150,6212,552150
143,654,552150,6212,552150
143,654,552150,6212,552150
143,654,553150,6212,553150
143,654,554150,6212,554150
143,654,554620,6212,554620
144,656,555620,6212,555620
144,656,556620,6212,556620
144,656,557620,6212,557620
144,656,558620,6212,558620
145,664,559620,6212,559620
145,664,560430,6212,560430
145,664,561430,6212,561430
145,664,562430,6212,562430
145,664,562430,6212,562430
145,664,563430,6212,563430
145,664,564430,6212,564430
145,664,565240,6212,565240
145,664,566050,6212,566050
146,672,566520,6212,566520
146,672,566520,6212,566520
146,672,567520,6212,567520
146,672,568520,6212,568520
146,672,569520,6212,569520
146,672,569520,6212,569520
146,672,570520,6212,570520
146,672,570990,6212,570990
146,672,571460,6212,571460
147,680,572460,6212,572460
147,680,573460,6212,573460
147,680,573460,6212,573460
147,680,573930,6212,573930
147,680,574930,6212,574930
147,680,575740,6212,575740
147,680,576740,6212,576740
147,680,576740,6212,576740
147,680,577740,6212,577740
147,680,577740,6212,577740
147,680,578740,6212,578740
147,680,578740,6212,578740
147,680,579210,6212,579210
147,680,580210,6212,580210
147,680,581020,6212,581020
147,680,582020,6212,582020
148,688,583020,6212,583020
148,688,583020,6212,583020
148,688,583830,6212,583830
148,688,584640,6212,584640
148,688,585110,6212,585110
148,688,585110,6212,585110
148,688,586110,6212,586110
148,688,586110,6212,586110
148,688,586460,6212,586460
148,688,587460,6212,587460
148,688,587460,6212,587460
