ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
884652.75,14.96,1.36,178744.62,3.02
884516.77,14.96,1.36,178744.62,3.02
884380.79,14.96,1.36,178744.62,3.02
884244.81,14.96,1.36,178744.31,3.02
884141.29,14.96,1.36,178761.02,3.02
884005.31,14.96,1.36,178760.71,3.03
883869.33,14.96,1.36,178760.4,3.03
884165.35,14.97,1.37,178760.09,3.03
884029.37,14.97,1.37,178760.09,3.03
884029.37,14.97,1.37,178683.1,3.03
883893.4,14.97,1.37,178668.3,3.03
883893.4,14.97,1.37,178668.3,3.03
883757.42,14.97,1.37,178667.98,3.03
883621.44,14.97,1.37,178588.67,3.03
883621.44,14.97,1.37,178588.67,3.03
883485.46,14.97,1.37,178588.36,3.03
883939.03,14.98,1.38,178640.54,3.03
883803.06,14.98,1.38,178641.54,3.03
883667.08,14.98,1.38,178562.23,3.03
883667.08,14.98,1.38,178561.94,3.03
883667.08,14.98,1.38,178561.94,3.03
883971.25,14.98,1.39,178561.63,3.03
883835.27,14.98,1.39,178561.32,3.03
883887.98,14.99,1.39,178561.32,3.03
883887.98,14.99,1.39,178482.01,3.03
883752.0,14.99,1.39,178482.01,3.03
884213.22,14.99,1.4,178482.01,3.03
884077.25,15.0,1.4,178404.04,3.03
