ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_nodes,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-total_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0ac0-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-arrived_gpu_milli
511,2691,494660,6212,494660
512,2695,495210,6212,495210
513,2703,496020,6212,496020
514,2705,496020,6212,496020
515,2713,497020,6212,497020
516,2715,498020,6212,498020
517,2723,498020,6212,498020
518,2731,499020,6212,499020
519,2733,500020,6212,500020
519,2733,500250,6212,500250
520,2735,501250,6212,501250
520,2735,501410,6212,501410
521,2737,502410,6212,502410
522,2739,503410,6212,503410
522,2739,504410,6212,504410
522,2739,504880,6212,504880
523,2741,505350,6212,505350
524,2745,505820,6212,505820
525,2747,506820,6212,506820
525,2747,507630,6212,507630
526,2748,508630,6212,508630
527,2756,509630,6212,509630
527,2756,509950,6212,509950
528,2758,510760,6212,510760
528,2758,511080,6212,511080
529,2766,511550,6212,511550
529,2766,512360,6212,512360
530,2774,512830,6212,512830
530,2774,513830,6212,513830
531,2782,514300,6212,514300
532,2790,514300,6212,514300
532,2790,514620,6212,514620
533,2792,515620,6212,515620
534,2800,516620,6212,516620
534,2800,517430,6212,517430
534,2800,518430,6212,518430
535,2802,518900,6212,518900
536,2804,519220,6212,519220
537,2806,519690,6212,519690
537,2806,520500,6212,520500
538,2808,520970,6212,520970
539,2816,521970,6212,521970
540,2824,522970,6212,522970
541,2832,523970,6212,523970
541,2832,523970,6212,523970
541,2832,524620,6212,524620
541,2832,525620,6212,525620
542,2840,526430,6212,526430
543,2848,526430,6212,526430
543,2848,527240,6212,527240
543,2848,528240,6212,528240
543,2848,529240,6212,529240
543,2848,529710,6212,529710
544,2850,529710,6212,529710
545,2852,529710,6212,529710
545,2852,530710,6212,530710
546,2860,531710,6212,531710
547,2862,532710,6212,532710
547,2862,533710,6212,533710
547,2862,534710,6212,534710
547,2862,535030,6212,535030
547,2862,536030,6212,536030
547,2862,537030,6212,537030
548,2864,537030,6212,537030
549,2865,537030,6212,537030
549,2865,538030,6212,538030
549,2865,539030,6212,539030
550,2873,539500,6212,539500
550,2873,540500,6212,540500
550,2873,540500,6212,540500
551,2875,541150,6212,541150
552,2877,542150,6212,542150
552,2877,542620,6212,542620
553,2885,542620,6212,542620
554,2893,542730,6212,542730
554,2893,543200,6212,543200
555,2895,544200,6212,544200
556,2903,544200,6212,544200
557,2911,545200,6212,545200
558,2919,546200,6212,546200
559,2927,547200,6212,547200
560,2929,548200,6212,548200
560,2929,549200,6212,549200
561,2931,550200,6212,550200
561,2931,551200,6212,551200
561,2931,551430,6212,551430
562,2939,552430,6212,552430
