ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a7bf-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a7bf-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a7bf-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a7bf-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a7bf-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
203,522,438320,6212,438320
203,522,439320,6212,439320
204,524,440130,6212,440130
204,524,440600,6212,440600
205,532,441600,6212,441600
205,532,441920,6212,441920
206,534,442730,6212,442730
206,534,442890,6212,442890
206,534,443890,6212,443890
206,534,444540,6212,444540
206,534,444540,6212,444540
206,534,445540,6212,445540
206,534,446010,6212,446010
206,534,447010,6212,447010
206,534,447330,6212,447330
206,534,448330,6212,448330
207,538,449330,6212,449330
207,538,449700,6212,449700
207,538,450700,6212,450700
207,538,451700,6212,451700
207,538,452700,6212,452700
207,538,453700,6212,453700
207,538,454700,6212,454700
207,538,455700,6212,455700
208,540,456700,6212,456700
208,540,456700,6212,456700
208,540,456700,6212,456700
208,540,456930,6212,456930
209,542,457930,6212,457930
209,542,457930,6212,457930
209,542,458250,6212,458250
209,542,458720,6212,458720
210,544,459720,6212,459720
210,544,460720,6212,460720
211,546,461720,6212,461720
211,546,462530,6212,462530
212,548,463340,6212,463340
212,548,463820,6212,463820
212,548,464820,6212,464820
213,550,465820,6212,465820
213,550,466820,6212,466820
213,550,466820,6212,466820
214,558,467820,6212,467820
215,560,468820,6212,468820
215,560,469630,6212,469630
215,560,470630,6212,470630
215,560,471100,6212,471100
215,560,472100,6212,472100
215,560,472910,6212,472910
216,562,473720,6212,473720
216,562,474720,6212,474720
216,562,475720,6212,475720
216,562,476720,6212,476720
217,564,477530,6212,477530
217,564,477760,6212,477760
217,564,478760,6212,478760
217,564,478760,6212,478760
218,566,479760,6212,479760
218,566,479980,6212,479980
218,566,480450,6212,480450
218,566,481260,6212,481260
218,566,482260,6212,482260
219,568,483260,6212,483260
219,568,484260,6212,484260
220,570,485070,6212,485070
220,570,485660,6212,485660
221,572,486660,6212,486660
222,580,494660,6212,494660
222,580,495210,6212,495210
223,582,496020,6212,496020
223,582,496020,6212,496020
223,582,497020,6212,497020
224,584,498020,6212,498020
224,584,498020,6212,498020
224,584,499020,6212,499020
225,586,500020,6212,500020
225,586,500250,6212,500250
225,586,501250,6212,501250
225,586,501410,6212,501410
226,590,502410,6212,502410
227,598,503410,6212,503410
227,598,504410,6212,504410
227,598,504880,6212,504880
227,598,505350,6212,505350
227,598,505820,6212,505820
227,598,506820,6212,506820
227,598,507630,6212,507630
227,598,508630,6212,508630
227,598,509630,6212,509630
227,598,509950,6212,509950
227,598,510760,6212,510760
228,600,511080,6212,511080
228,600,511550,6212,511550
228,600,512360,6212,512360
229,602,512830,6212,512830
229,602,513830,6212,513830
229,602,514300,6212,514300
229,602,514300,6212,514300
229,602,514620,6212,514620
230,604,515620,6212,515620
230,604,516620,6212,516620
230,604,517430,6212,517430
231,606,518430,6212,518430
232,608,518900,6212,518900
232,608,519220,6212,519220
232,608,519690,6212,519690
233,610,520500,6212,520500
233,610,520970,6212,520970
234,612,521970,6212,521970
234,612,522970,6212,522970
235,614,523970,6212,523970
235,614,523970,6212,523970
236,616,524620,6212,524620
236,616,525620,6212,525620
236,616,526430,6212,526430
236,616,526430,6212,526430
237,618,527240,6212,527240
237,618,528240,6212,528240
238,626,529240,6212,529240
238,626,529710,6212,529710
238,626,529710,6212,529710
238,626,529710,6212,529710
238,626,530710,6212,530710
238,626,531710,6212,531710
238,626,532710,6212,532710
238,626,533710,6212,533710
239,634,534710,6212,534710
239,634,535030,6212,535030
240,636,536030,6212,536030
240,636,537030,6212,537030
240,636,537030,6212,537030
240,636,537030,6212,537030
240,636,538030,6212,538030
240,636,539030,6212,539030
240,636,539500,6212,539500
240,636,540500,6212,540500
240,636,540500,6212,540500
240,636,541150,6212,541150
240,636,542150,6212,542150
240,636,542620,6212,542620
240,636,542620,6212,542620
240,636,542730,6212,542730
240,636,543200,6212,543200
240,636,544200,6212,544200
240,636,544200,6212,544200
241,638,545200,6212,545200
241,638,546200,6212,546200
241,638,547200,6212,547200
242,640,548200,6212,548200
242,640,549200,6212,549200
243,642,550200,6212,550200
243,642,551200,6212,551200
244,644,551430,6212,551430
244,644,552430,6212,552430
245,646,553430,6212,553430
245,646,554240,6212,554240
246,648,555240,6212,555240
246,648,556240,6212,556240
247,650,556700,6212,556700
247,650,557700,6212,557700
247,650,558160,6212,558160
248,652,559160,6212,559160
248,652,559970,6212,559970
248,652,559970,6212,559970
249,654,560970,6212,560970
249,654,561970,6212,561970
250,656,562970,6212,562970
250,656,563780,6212,563780
251,658,564370,6212,564370
251,658,564840,6212,564840
252,666,565840,6212,565840
252,666,569840,6212,569840
252,666,569840,6212,569840
253,668,570310,6212,570310
253,668,570310,6212,570310
253,668,570630,6212,570630
253,668,571440,6212,571440
254,670,572440,6212,572440
254,670,573440,6212,573440
254,670,573440,6212,573440
255,672,574440,6212,574440
255,672,574670,6212,574670
256,674,575670,6212,575670
257,676,576670,6212,576670
257,676,577670,6212,577670
257,676,577670,6212,577670
258,678,578670,6212,578670
258,678,579140,6212,579140
258,678,579790,6212,579790
259,686,580790,6212,580790
259,686,581790,6212,581790
259,686,581790,6212,581790
259,686,582790,6212,582790
260,688,583260,6212,583260
260,688,583580,6212,583580
260,688,584390,6212,584390
260,688,585200,6212,585200
260,688,585670,6212,585670
260,688,586670,6212,586670
260,688,586670,6212,586670
260,688,587670,6212,587670
260,688,588670,6212,588670
260,688,589670,6212,589670
260,688,590670,6212,590670
260,688,590890,6212,590890
261,690,591890,6212,591890
262,692,592890,6212,592890
262,692,593890,6212,593890
262,692,594700,6212,594700
262,692,594700,6212,594700
263,694,595160,6212,595160
264,696,595380,6212,595380
264,696,596380,6212,596380
264,696,597380,6212,597380
264,696,597850,6212,597850
265,698,598850,6212,598850
266,702,599850,6212,599850
266,702,600850,6212,600850
267,710,608850,6212,608850
267,710,609170,6212,609170
267,710,609720,6212,609720
267,710,610720,6212,610720
267,710,610720,6212,610720
267,710,611720,6212,611720
268,712,612530,6212,612530
268,712,613000,6212,613000
269,714,613810,6212,613810
269,714,614810,6212,614810
269,714,615030,6212,615030
270,716,616030,6212,616030
270,716,616500,6212,616500
271,718,617310,6212,617310
271,718,618310,6212,618310
272,720,619120,6212,619120
272,720,619440,6212,619440
272,720,619440,6212,619440
272,720,620250,6212,620250
273,722,621060,6212,621060
273,722,621060,6212,621060
273,722,621060,6212,621060
273,722,621870,6212,621870
274,724,622870,6212,622870
274,724,623680,6212,623680
275,726,624000,6212,624000
275,726,624810,6212,624810
276,728,625810,6212,625810
276,728,626620,6212,626620
277,730,627620,6212,627620
277,730,628620,6212,628620
278,732,628940,6212,628940
278,732,629940,6212,629940
278,732,630400,6212,630400
279,734,631400,6212,631400
279,734,632210,6212,632210
280,736,633210,6212,633210
281,744,634210,6212,634210
281,744,635210,6212,635210
281,744,635210,6212,635210
281,744,636020,6212,636020
281,744,637020,6212,637020
282,752,637020,6212,637020
