ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
354,968,936790,6212,936790
355,970,937790,6212,937790
355,970,938790,6212,938790
355,970,938790,6212,938790
356,972,939600,6212,939600
357,974,941600,6212,941600
357,974,942410,6212,942410
358,976,943410,6212,943410
358,976,944410,6212,944410
359,978,945410,6212,945410
359,978,946410,6212,946410
360,980,947220,6212,947220
360,980,947220,6212,947220
360,980,948220,6212,948220
361,982,949220,6212,949220
361,982,950220,6212,950220
362,986,951220,6212,951220
363,988,952220,6212,952220
363,988,952220,6212,952220
363,988,953220,6212,953220
364,990,954220,6212,954220
364,990,954220,6212,954220
364,990,954810,6212,954810
364,990,955280,6212,955280
365,994,959280,6212,959280
365,994,959750,6212,959750
365,994,960560,6212,960560
366,996,961560,6212,961560
366,996,962030,6212,962030
366,996,962490,6212,962490
367,998,963490,6212,963490
367,998,964490,6212,964490
367,998,965300,6212,965300
367,998,966300,6212,966300
368,1000,967110,6212,967110
368,1000,968110,6212,968110
369,1002,969110,6212,969110
369,1002,969920,6212,969920
