ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
829061.04,13.98,0.64,311209.67,5.25
829061.04,13.98,0.64,311209.67,5.25
828912.57,13.98,0.64,311194.64,5.25
828764.09,13.98,0.64,311151.98,5.25
828463.52,13.98,0.64,310852.5,5.25
828315.05,13.98,0.64,310767.01,5.24
828364.0,13.98,0.64,310331.34,5.24
828115.11,13.98,0.64,309995.98,5.23
827966.64,13.98,0.64,309884.11,5.23
827857.93,13.98,0.64,309778.97,5.23
828143.29,13.99,0.64,310196.0,5.24
827994.82,13.98,0.64,310079.9,5.24
826807.05,13.98,0.64,309645.47,5.24
826985.45,13.99,0.64,310025.17,5.24
827206.69,13.99,0.65,310032.76,5.24
827021.75,13.99,0.65,310106.76,5.25
826873.28,13.99,0.65,309993.65,5.25
827051.68,14.0,0.65,310299.13,5.25
826903.21,14.0,0.65,310186.02,5.25
826952.16,14.0,0.66,309750.35,5.24
826655.29,14.0,0.65,309514.15,5.24
826406.39,13.99,0.65,309178.78,5.24
826406.39,13.99,0.65,309178.78,5.24
826257.92,13.99,0.65,309163.74,5.24
826306.87,14.0,0.65,308728.07,5.23
826057.98,13.99,0.65,308392.71,5.22
826098.21,14.0,0.65,308472.82,5.23
825949.74,14.0,0.65,308427.91,5.23
825989.97,14.0,0.66,308508.03,5.23
825616.14,13.99,0.65,308134.71,5.22
825656.38,14.0,0.65,308253.15,5.23
825507.9,14.0,0.65,308210.49,5.23
825359.43,14.0,0.65,308125.01,5.23
825210.96,14.0,0.65,308082.35,5.23
825062.49,14.0,0.65,307996.86,5.22
824914.02,14.0,0.65,307954.2,5.23
824765.55,14.0,0.65,307868.71,5.22
824617.08,14.0,0.65,307825.82,5.22
824468.61,14.0,0.65,307740.57,5.22
824291.77,13.99,0.65,307539.28,5.22
824143.3,13.99,0.65,307426.87,5.22
824143.3,13.99,0.65,307426.87,5.22
824143.3,13.99,0.65,307426.87,5.22
824143.3,13.99,0.65,307426.87,5.22
823994.83,13.99,0.65,307411.14,5.22
824035.06,14.0,0.65,307491.25,5.22
823886.59,14.0,0.65,307468.16,5.22
823926.82,14.0,0.65,307543.26,5.23
823778.35,14.0,0.65,307496.76,5.23
823629.88,14.0,0.65,307453.86,5.23
823481.41,14.0,0.65,307368.61,5.22
823774.95,14.0,0.66,307330.86,5.22
823774.95,14.0,0.66,307330.86,5.22
823494.85,14.0,0.66,307026.07,5.22
823346.37,14.0,0.66,307378.57,5.23
823578.48,14.0,0.66,307271.63,5.23
823618.71,14.01,0.66,307813.01,5.24
823470.24,14.01,0.66,307700.59,5.23
823098.22,14.0,0.66,307327.7,5.23
822949.75,14.0,0.66,307311.97,5.23
822801.28,14.0,0.66,307198.86,5.23
822661.53,14.0,0.66,306570.48,5.22
822411.34,14.0,0.66,306237.82,5.21
822271.59,14.0,0.66,305609.45,5.2
822021.4,14.0,0.65,305276.78,5.2
822021.4,14.0,0.65,305276.78,5.2
821872.93,14.0,0.65,305261.74,5.2
821733.17,14.0,0.65,304633.37,5.19
821671.69,14.0,0.66,304484.97,5.19
821301.69,13.99,0.65,304114.97,5.18
821142.98,13.99,0.65,303959.82,5.18
820994.51,13.99,0.65,303933.28,5.18
820846.04,13.99,0.65,303831.67,5.18
820686.96,13.99,0.65,303056.33,5.17
820480.09,13.99,0.64,302855.81,5.16
820480.09,13.99,0.64,302855.81,5.16
820189.51,13.98,0.64,302566.08,5.16
820041.04,13.98,0.64,302534.66,5.16
819892.57,13.98,0.64,302431.32,5.16
819744.1,13.98,0.64,302318.9,5.16
819595.63,13.98,0.64,302303.17,5.16
819889.17,13.99,0.65,302265.42,5.16
819295.29,13.99,0.64,301925.83,5.15
819146.82,13.99,0.64,302278.07,5.16
819061.02,13.99,0.65,302194.82,5.16
818689.0,13.98,0.64,301822.18,5.16
