ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f5b4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f5b4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f5b4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f5b4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f5b4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
1256723.86,21.44,0.94,218391.89,3.73
1256707.66,21.44,0.94,218486.13,3.73
1256502.68,21.44,0.94,218502.88,3.73
1256737.11,21.45,0.95,218593.47,3.73
1256720.92,21.45,0.95,218894.82,3.74
1256844.15,21.45,0.95,218962.32,3.74
1256844.15,21.45,0.95,218962.32,3.74
1256639.18,21.45,0.95,219093.89,3.74
1256634.64,21.46,0.96,218610.31,3.73
1256634.64,21.46,0.96,218610.31,3.73
1256429.67,21.46,0.96,218552.91,3.73
1256321.1,21.46,0.96,218367.61,3.73
1256321.1,21.46,0.96,218367.61,3.73
1256116.13,21.46,0.96,218367.61,3.73
1255911.15,21.46,0.96,218369.19,3.73
1255531.75,21.45,0.95,218158.34,3.73
1261891.94,21.56,1.06,224480.82,3.84
1261686.96,21.56,1.06,224421.84,3.84
1261481.99,21.56,1.06,224437.13,3.84
1261481.99,21.56,1.06,224437.13,3.84
1261277.01,21.56,1.06,224364.44,3.84
1261072.04,21.56,1.06,224421.0,3.84
1263332.72,21.6,1.1,227543.44,3.89
1263567.15,21.61,1.11,227812.33,3.9
1263362.18,21.61,1.11,227827.62,3.9
1263063.97,21.6,1.1,227601.15,3.89
1263047.77,21.6,1.11,227678.3,3.89
1263043.24,21.61,1.11,227194.71,3.89
1262663.83,21.6,1.11,226871.85,3.88
1262458.85,21.6,1.11,226814.45,3.88
1262660.22,21.61,1.11,226943.29,3.88
