ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_901b-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_901b-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_901b-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_901b-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_901b-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
363,776,656870,6212,656870
363,776,657870,6212,657870
363,776,657870,6212,657870
364,778,658680,6212,658680
364,778,659680,6212,659680
364,778,660050,6212,660050
365,780,660860,6212,660860
365,780,661330,6212,661330
366,782,662330,6212,662330
367,784,663330,6212,663330
367,784,664140,6212,664140
367,784,664140,6212,664140
367,784,664610,6212,664610
367,784,665610,6212,665610
367,784,665720,6212,665720
368,786,666530,6212,666530
368,786,667000,6212,667000
368,786,667000,6212,667000
368,786,667330,6212,667330
369,788,668140,6212,668140
369,788,669140,6212,669140
369,788,669140,6212,669140
370,790,670140,6212,670140
370,790,671140,6212,671140
371,792,671950,6212,671950
372,800,671950,6212,671950
372,800,672760,6212,672760
372,800,672760,6212,672760
373,802,673760,6212,673760
373,802,674760,6212,674760
373,802,674980,6212,674980
373,802,675300,6212,675300
374,804,676110,6212,676110
375,806,677110,6212,677110
375,806,677110,6212,677110
375,806,677920,6212,677920
375,806,678920,6212,678920
376,808,679920,6212,679920
377,810,680920,6212,680920
377,810,680920,6212,680920
377,810,681730,6212,681730
377,810,682540,6212,682540
378,812,683000,6212,683000
