ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
302,718,586670,6212,586670
303,720,587670,6212,587670
303,720,588670,6212,588670
303,720,589670,6212,589670
304,722,590670,6212,590670
304,722,590890,6212,590890
304,722,591890,6212,591890
305,724,592890,6212,592890
305,724,593890,6212,593890
305,724,594700,6212,594700
305,724,594700,6212,594700
305,724,595160,6212,595160
305,724,595380,6212,595380
306,726,596380,6212,596380
307,730,597380,6212,597380
307,730,597850,6212,597850
307,730,598850,6212,598850
307,730,599850,6212,599850
307,730,600850,6212,600850
308,738,608850,6212,608850
308,738,609170,6212,609170
308,738,609720,6212,609720
308,738,610720,6212,610720
308,738,610720,6212,610720
309,740,611720,6212,611720
310,742,612530,6212,612530
310,742,613000,6212,613000
311,744,613810,6212,613810
311,744,614810,6212,614810
311,744,615030,6212,615030
312,746,616030,6212,616030
312,746,616500,6212,616500
313,748,617310,6212,617310
313,748,618310,6212,618310
314,750,619120,6212,619120
314,750,619440,6212,619440
314,750,619440,6212,619440
314,750,620250,6212,620250
314,750,621060,6212,621060
314,750,621060,6212,621060
314,750,621060,6212,621060
315,752,621870,6212,621870
316,754,622870,6212,622870
316,754,623680,6212,623680
317,756,624000,6212,624000
317,756,624810,6212,624810
317,756,625810,6212,625810
318,758,626620,6212,626620
319,760,627620,6212,627620
319,760,628620,6212,628620
319,760,628940,6212,628940
320,762,629940,6212,629940
320,762,630400,6212,630400
320,762,631400,6212,631400
321,764,632210,6212,632210
322,766,633210,6212,633210
322,766,634210,6212,634210
323,774,635210,6212,635210
323,774,635210,6212,635210
323,774,636020,6212,636020
324,778,637020,6212,637020
324,778,637020,6212,637020
324,778,638020,6212,638020
325,780,638830,6212,638830
325,780,639830,6212,639830
325,780,640830,6212,640830
325,780,641830,6212,641830
325,780,642640,6212,642640
326,782,643450,6212,643450
326,782,643670,6212,643670
326,782,644670,6212,644670
326,782,645130,6212,645130
326,782,645940,6212,645940
327,784,646940,6212,646940
328,786,647940,6212,647940
328,786,648940,6212,648940
328,786,649940,6212,649940
328,786,650940,6212,650940
329,788,651940,6212,651940
329,788,651940,6212,651940
330,796,651940,6212,651940
330,796,652940,6212,652940
331,798,653940,6212,653940
332,800,654940,6212,654940
332,800,655940,6212,655940
333,802,656940,6212,656940
333,802,656940,6212,656940
333,802,656940,6212,656940
333,802,657940,6212,657940
334,804,658750,6212,658750
335,806,659750,6212,659750
335,806,660560,6212,660560
335,806,660560,6212,660560
335,806,661560,6212,661560
336,808,662560,6212,662560
336,808,663560,6212,663560
336,808,664560,6212,664560
336,808,664560,6212,664560
336,808,665560,6212,665560
337,810,666370,6212,666370
338,812,667370,6212,667370
338,812,668370,6212,668370
339,814,669370,6212,669370
339,814,670370,6212,670370
340,816,671370,6212,671370
340,816,672020,6212,672020
340,816,673020,6212,673020
341,818,674020,6212,674020
341,818,675020,6212,675020
342,820,675830,6212,675830
343,822,676830,6212,676830
343,822,677150,6212,677150
343,822,678150,6212,678150
344,824,679150,6212,679150
344,824,680150,6212,680150
344,824,680150,6212,680150
345,826,681150,6212,681150
346,828,682150,6212,682150
346,828,683150,6212,683150
347,830,684150,6212,684150
