ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2c5a-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
1169275.39,19.49,0.86,224314.65,3.74
1169291.91,19.49,0.86,224808.1,3.75
1169254.44,19.49,0.86,225019.62,3.75
1169329.82,19.49,0.87,228240.16,3.8
1169162.79,19.49,0.87,228218.66,3.8
1168995.76,19.49,0.87,228158.54,3.8
1169000.94,19.49,0.87,227719.39,3.8
1168833.91,19.49,0.87,227642.25,3.8
1168666.88,19.49,0.87,227637.77,3.8
1169200.11,19.51,0.88,227702.74,3.8
1169104.1,19.51,0.88,227573.71,3.8
1168876.3,19.51,0.88,227412.35,3.79
1168881.48,19.51,0.88,226973.21,3.79
1168714.45,19.51,0.88,226895.72,3.79
1168547.42,19.51,0.88,226891.58,3.79
1168547.42,19.51,0.88,226891.58,3.79
1168380.39,19.51,0.88,226882.64,3.79
1168448.44,19.51,0.88,226926.75,3.79
1172397.33,19.58,0.95,229317.17,3.83
1172230.29,19.58,0.95,229244.49,3.83
1171896.23,19.58,0.95,229162.86,3.83
1171696.53,19.58,0.95,228951.8,3.83
1171958.52,19.58,0.95,229047.14,3.83
1171791.48,19.58,0.95,229025.64,3.83
1171812.42,19.59,0.96,229329.16,3.83
1171645.38,19.59,0.96,229269.04,3.83
1171478.35,19.59,0.96,229191.6,3.83
1171311.32,19.59,0.96,229187.42,3.83
1171306.69,19.59,0.96,229279.42,3.83
1171306.69,19.59,0.96,229279.42,3.83
1171302.07,19.59,0.96,229421.67,3.84
1171512.27,19.6,0.97,229345.88,3.84
1171291.0,19.6,0.97,229252.86,3.84
1171123.97,19.6,0.97,229231.35,3.84
1171157.01,19.6,0.97,229244.05,3.84
1171157.01,19.6,0.97,229211.59,3.84
1171419.0,19.6,0.97,230005.86,3.85
1171439.94,19.61,0.97,230103.18,3.85
