ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9c90-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9c90-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9c90-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9c90-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9c90-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
248,548,357480,6212,357480
249,550,357800,6212,357800
249,550,358610,6212,358610
250,552,359420,6212,359420
250,552,359890,6212,359890
250,552,360350,6212,360350
250,552,360820,6212,360820
251,554,361290,6212,361290
251,554,361400,6212,361400
251,554,361860,6212,361860
251,554,362670,6212,362670
252,556,363140,6212,363140
252,556,363140,6212,363140
252,556,363360,6212,363360
252,556,364170,6212,364170
253,558,364640,6212,364640
253,558,364990,6212,364990
253,558,365640,6212,365640
253,558,365870,6212,365870
254,560,366680,6212,366680
254,560,367150,6212,367150
255,562,367960,6212,367960
255,562,368420,6212,368420
255,562,368890,6212,368890
255,562,368890,6212,368890
256,564,369540,6212,369540
256,564,369760,6212,369760
256,564,370570,6212,370570
256,564,371040,6212,371040
257,566,371410,6212,371410
257,566,371730,6212,371730
257,566,372540,6212,372540
257,566,373130,6212,373130
258,568,373780,6212,373780
258,568,373780,6212,373780
258,568,373780,6212,373780
258,568,374590,6212,374590
259,570,375400,6212,375400
259,570,375870,6212,375870
260,572,376680,6212,376680
260,572,377000,6212,377000
260,572,377000,6212,377000
260,572,377810,6212,377810
260,572,377810,6212,377810
261,574,378460,6212,378460
261,574,378460,6212,378460
261,574,378930,6212,378930
261,574,379740,6212,379740
262,576,380390,6212,380390
262,576,380860,6212,380860
262,576,381090,6212,381090
262,576,381410,6212,381410
262,576,381730,6212,381730
263,578,382540,6212,382540
263,578,383350,6212,383350
264,580,384160,6212,384160
264,580,384630,6212,384630
264,580,385100,6212,385100
265,582,385910,6212,385910
265,582,386500,6212,386500
266,584,387310,6212,387310
266,584,387770,6212,387770
266,584,388090,6212,388090
266,584,388090,6212,388090
267,586,388900,6212,388900
267,586,389710,6212,389710
268,588,390520,6212,390520
268,588,390990,6212,390990
268,588,391310,6212,391310
268,588,392120,6212,392120
269,590,392590,6212,392590
269,590,392590,6212,392590
269,590,393400,6212,393400
270,592,394210,6212,394210
270,592,394530,6212,394530
270,592,395340,6212,395340
271,594,395800,6212,395800
271,594,396260,6212,396260
271,594,396580,6212,396580
272,596,397390,6212,397390
272,596,397940,6212,397940
272,596,397940,6212,397940
272,596,398750,6212,398750
273,598,399220,6212,399220
273,598,399690,6212,399690
273,598,400500,6212,400500
274,600,400730,6212,400730
274,600,401320,6212,401320
274,600,402130,6212,402130
275,602,402940,6212,402940
275,602,403750,6212,403750
275,602,403910,6212,403910
276,604,404370,6212,404370
276,604,404370,6212,404370
276,604,404690,6212,404690
276,604,405160,6212,405160
277,606,405970,6212,405970
277,606,406340,6212,406340
277,606,406810,6212,406810
277,606,406810,6212,406810
277,606,406810,6212,406810
277,606,407130,6212,407130
278,608,407680,6212,407680
278,608,408490,6212,408490
279,610,409140,6212,409140
279,610,409950,6212,409950
280,612,410760,6212,410760
280,612,411080,6212,411080
280,612,411550,6212,411550
280,612,412020,6212,412020
281,614,412490,6212,412490
281,614,413300,6212,413300
282,616,414110,6212,414110
282,616,414160,6212,414160
282,616,414620,6212,414620
282,616,415090,6212,415090
282,616,415320,6212,415320
283,618,416130,6212,416130
283,618,416130,6212,416130
283,618,416130,6212,416130
283,618,416130,6212,416130
283,618,416780,6212,416780
284,620,417370,6212,417370
284,620,417420,6212,417420
284,620,417890,6212,417890
284,620,418210,6212,418210
284,620,419020,6212,419020
284,620,419340,6212,419340
284,620,419340,6212,419340
285,622,419810,6212,419810
285,622,420620,6212,420620
285,622,421080,6212,421080
286,624,421550,6212,421550
286,624,422200,6212,422200
287,626,423010,6212,423010
287,626,423480,6212,423480
287,626,423950,6212,423950
288,628,424760,6212,424760
288,628,424760,6212,424760
288,628,424760,6212,424760
288,628,425410,6212,425410
288,628,425520,6212,425520
288,628,425980,6212,425980
288,628,426210,6212,426210
289,630,426860,6212,426860
289,630,426860,6212,426860
289,630,427180,6212,427180
289,630,427830,6212,427830
290,632,428640,6212,428640
290,632,429110,6212,429110
291,634,429660,6212,429660
291,634,430310,6212,430310
291,634,430780,6212,430780
292,636,431590,6212,431590
292,636,432240,6212,432240
293,638,433050,6212,433050
293,638,433640,6212,433640
294,640,434290,6212,434290
294,640,434610,6212,434610
294,640,435080,6212,435080
295,642,435890,6212,435890
295,642,436700,6212,436700
295,642,437170,6212,437170
295,642,437490,6212,437490
295,642,437810,6212,437810
296,644,438620,6212,438620
296,644,438990,6212,438990
296,644,439460,6212,439460
297,646,440110,6212,440110
297,646,440570,6212,440570
297,646,441380,6212,441380
298,648,442190,6212,442190
298,648,442660,6212,442660
298,648,442880,6212,442880
298,648,442880,6212,442880
299,650,443690,6212,443690
