ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0fad-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
1260950.27,21.31,0.81,215570.33,3.64
1260934.08,21.31,0.81,215664.57,3.64
1261168.51,21.31,0.82,215962.27,3.65
1260878.93,21.31,0.81,215621.75,3.64
1260673.96,21.31,0.81,215549.07,3.64
1260673.96,21.31,0.81,215549.07,3.64
1260657.76,21.31,0.82,215643.3,3.65
1260278.35,21.31,0.81,215432.45,3.64
1260073.38,21.31,0.81,215375.05,3.64
1260073.38,21.31,0.81,215485.65,3.64
1260113.37,21.31,0.81,215289.39,3.64
1260347.81,21.31,0.82,215587.1,3.65
1260142.83,21.31,0.82,215587.1,3.65
1260138.3,21.32,0.82,215103.51,3.64
1259933.32,21.32,0.82,215046.11,3.64
1259728.35,21.32,0.82,215046.11,3.64
1259348.94,21.31,0.82,214835.26,3.64
1259050.73,21.31,0.81,214650.77,3.63
1258786.23,21.31,0.81,214347.08,3.63
1258581.25,21.31,0.81,214289.68,3.63
1258581.25,21.31,0.81,214289.68,3.63
1258376.28,21.31,0.81,214289.68,3.63
1258171.3,21.31,0.81,214232.28,3.63
1258062.73,21.31,0.81,214046.98,3.63
1257857.76,21.31,0.81,214046.98,3.63
1258092.19,21.31,0.82,214137.58,3.63
1258339.42,21.32,0.82,213843.22,3.62
1258462.66,21.33,0.83,214244.43,3.63
1258154.45,21.32,0.82,214139.46,3.63
1258138.25,21.32,0.83,214233.7,3.63
1258122.05,21.33,0.83,214381.72,3.63
1258631.4,21.34,0.84,214349.48,3.63
1258426.42,21.34,0.84,214292.08,3.63
1258221.45,21.34,0.84,214292.08,3.63
1261361.55,21.39,0.9,218032.11,3.7
1261156.57,21.39,0.9,218047.4,3.7
1260951.6,21.39,0.9,217974.71,3.7
1260951.6,21.39,0.9,217974.71,3.7
1260746.62,21.39,0.9,217990.0,3.7
1260746.62,21.39,0.9,217990.0,3.7
1260541.65,21.39,0.9,217917.31,3.7
1260541.65,21.39,0.9,217917.31,3.7
1260336.67,21.39,0.9,217918.9,3.7
1260336.67,21.39,0.9,217918.9,3.7
1260131.69,21.39,0.9,217859.92,3.7
1259752.29,21.39,0.89,217495.69,3.69
1259547.31,21.39,0.89,217438.29,3.69
1259342.34,21.39,0.89,217438.29,3.69
1259575.64,21.4,0.9,217183.65,3.69
1259575.64,21.4,0.9,217269.73,3.69
1259559.45,21.4,0.9,217363.97,3.69
1259559.45,21.4,0.9,217564.67,3.7
1259354.47,21.4,0.9,217490.82,3.7
1259477.71,21.4,0.91,217734.87,3.7
1258739.82,21.4,0.9,216996.98,3.69
1259488.6,21.41,0.91,217246.51,3.69
1259299.16,21.41,0.91,217014.74,3.69
1259299.16,21.41,0.91,218467.18,3.71
1258575.2,21.4,0.9,217689.58,3.7
1258559.0,21.4,0.9,217783.82,3.7
1258542.81,21.4,0.91,217931.85,3.71
1258538.27,21.41,0.91,217448.26,3.7
1258333.3,21.41,0.91,217448.26,3.7
1258455.53,21.41,0.91,217520.18,3.7
1258689.96,21.42,0.92,217610.77,3.7
1258484.98,21.42,0.92,217553.37,3.7
1258280.01,21.42,0.92,217553.37,3.7
1258075.03,21.42,0.92,217554.96,3.7
1258058.83,21.42,0.92,217856.31,3.71
1258273.43,21.43,0.93,217798.91,3.71
1258114.66,21.42,0.93,217650.42,3.71
1257909.68,21.42,0.93,217591.43,3.71
1257893.48,21.43,0.93,218184.3,3.72
1257700.17,21.43,0.93,217439.61,3.7
1257401.96,21.42,0.93,217253.79,3.7
1257980.4,21.44,0.94,217284.99,3.7
1257683.06,21.43,0.94,216997.45,3.7
1257303.65,21.43,0.93,216786.59,3.69
1256774.55,21.42,0.93,216263.14,3.69
1256935.96,21.43,0.93,216546.83,3.69
1256730.99,21.43,0.93,216489.43,3.69
1256526.01,21.43,0.93,216489.43,3.69
1256509.82,21.43,0.93,216583.67,3.69
1256304.84,21.43,0.93,216598.96,3.69
1256288.64,21.43,0.93,216746.99,3.7
