ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
284,638,488490,6212,488490
284,638,488600,6212,488600
284,638,488920,6212,488920
285,640,489730,6212,489730
285,640,490540,6212,490540
286,642,491010,6212,491010
286,642,492010,6212,492010
287,644,493010,6212,493010
287,644,493660,6212,493660
287,644,493980,6212,493980
287,644,494450,6212,494450
288,646,495260,6212,495260
288,646,495580,6212,495580
288,646,496040,6212,496040
289,648,497040,6212,497040
289,648,498040,6212,498040
290,650,498850,6212,498850
290,650,499850,6212,499850
291,652,500850,6212,500850
291,652,500850,6212,500850
291,652,501850,6212,501850
292,654,502850,6212,502850
292,654,503850,6212,503850
292,654,504320,6212,504320
293,656,504970,6212,504970
293,656,505780,6212,505780
294,658,506780,6212,506780
294,658,507590,6212,507590
295,660,508590,6212,508590
295,660,509400,6212,509400
296,662,510400,6212,510400
296,662,510400,6212,510400
296,662,510950,6212,510950
297,664,511540,6212,511540
297,664,512540,6212,512540
298,666,513130,6212,513130
298,666,513600,6212,513600
298,666,513830,6212,513830
298,666,514150,6212,514150
298,666,514470,6212,514470
299,668,515280,6212,515280
299,668,515280,6212,515280
299,668,515280,6212,515280
299,668,515830,6212,515830
299,668,516300,6212,516300
300,670,517110,6212,517110
300,670,518110,6212,518110
301,672,519110,6212,519110
301,672,519110,6212,519110
301,672,519760,6212,519760
301,672,519760,6212,519760
302,674,520760,6212,520760
302,674,520760,6212,520760
302,674,521570,6212,521570
303,676,522570,6212,522570
303,676,523040,6212,523040
304,678,524040,6212,524040
304,678,524200,6212,524200
304,678,524850,6212,524850
305,680,525660,6212,525660
305,680,526310,6212,526310
305,680,526680,6212,526680
306,682,527680,6212,527680
306,682,528330,6212,528330
307,684,529330,6212,529330
307,684,529550,6212,529550
307,684,530360,6212,530360
308,686,531360,6212,531360
308,686,532170,6212,532170
308,686,532640,6212,532640
