ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
1550791.8,26.12,0.47,204221.9,3.44
1550585.61,26.12,0.47,204218.74,3.44
1550567.45,26.12,0.48,204306.6,3.44
1550193.73,26.12,0.47,203868.95,3.43
1549918.58,26.11,0.47,203709.89,3.43
1549570.36,26.11,0.47,203408.31,3.43
1549364.16,26.11,0.47,203405.15,3.43
1549346.0,26.12,0.47,203493.01,3.43
1549139.8,26.12,0.47,203417.89,3.43
1547055.36,26.12,0.47,203362.77,3.43
1547037.2,26.12,0.48,203541.37,3.44
1546831.0,26.12,0.48,203538.06,3.44
1547040.35,26.13,0.48,203870.64,3.44
1546834.15,26.13,0.48,203795.52,3.44
1546568.18,26.13,0.48,203681.83,3.44
1546795.7,26.14,0.49,204099.99,3.45
1546589.5,26.14,0.49,204025.76,3.45
1546571.34,26.14,0.49,204204.14,3.45
1546689.88,26.14,0.49,204191.17,3.45
1546483.68,26.15,0.49,204437.72,3.46
1546277.48,26.15,0.49,204362.42,3.46
1546071.29,26.15,0.49,204357.04,3.46
1545865.09,26.15,0.49,204300.53,3.46
1545585.68,26.15,0.49,204267.76,3.46
1545379.49,26.15,0.49,204243.6,3.46
1545173.29,26.15,0.49,204187.09,3.46
1544967.09,26.15,0.49,204162.93,3.46
1544593.37,26.15,0.49,203799.22,3.45
1544387.18,26.15,0.49,203723.83,3.45
1544387.18,26.15,0.49,203723.83,3.45
1544180.98,26.15,0.49,203718.54,3.45
1544180.98,26.15,0.49,203718.54,3.45
1543974.78,26.15,0.49,203643.42,3.45
1543768.58,26.15,0.49,203637.87,3.45
1543768.58,26.15,0.49,203637.87,3.45
1543562.39,26.15,0.49,203581.35,3.45
1543357.43,26.15,0.49,203370.14,3.45
1543151.23,26.15,0.49,203345.98,3.45
1542945.04,26.15,0.49,203270.65,3.45
1542945.04,26.15,0.49,203270.65,3.45
1542945.04,26.15,0.49,203270.65,3.45
1543180.74,26.16,0.49,203698.14,3.45
1542974.54,26.16,0.49,203622.76,3.45
1542956.38,26.16,0.49,203801.0,3.46
1542956.38,26.16,0.49,203801.0,3.46
1542750.18,26.16,0.49,203726.78,3.45
1542555.21,26.16,0.49,203539.37,3.45
1542349.01,26.16,0.49,203532.92,3.45
1542330.85,26.16,0.49,203632.88,3.45
1542051.45,26.16,0.49,203599.28,3.45
1542231.2,26.17,0.5,203590.14,3.45
1542213.04,26.17,0.5,203740.26,3.46
1542143.51,26.17,0.5,203301.87,3.45
1542262.05,26.18,0.51,203288.9,3.45
1542055.85,26.18,0.51,203497.94,3.45
1541850.89,26.18,0.51,203286.72,3.45
1541644.7,26.18,0.51,203211.59,3.45
1541298.17,26.18,0.5,202911.97,3.45
1541091.97,26.18,0.5,202906.43,3.45
1540885.77,26.18,0.5,202849.91,3.45
1540513.87,26.17,0.5,202487.07,3.44
1540138.13,26.17,0.5,202594.98,3.44
1539931.94,26.17,0.5,202570.82,3.44
1539725.74,26.17,0.5,202495.53,3.44
1539519.54,26.17,0.5,202490.15,3.44
1539313.34,26.17,0.5,202414.71,3.44
1539027.56,26.17,0.49,202201.44,3.44
1538821.37,26.17,0.49,202196.21,3.44
1538803.21,26.18,0.49,202296.17,3.44
1538785.05,26.18,0.5,202446.28,3.44
1538578.85,26.18,0.5,202374.27,3.44
1538372.65,26.18,0.5,202365.61,3.44
1538166.45,26.18,0.5,202362.45,3.44
1538148.29,26.18,0.5,202450.31,3.45
1538130.13,26.19,0.5,202550.27,3.45
1537923.94,26.19,0.5,202553.18,3.45
1538151.46,26.19,0.51,202640.45,3.45
1537945.26,26.2,0.51,202897.62,3.46
1537945.26,26.2,0.51,202897.62,3.46
1537945.26,26.2,0.51,202897.62,3.46
1537739.06,26.2,0.51,202841.1,3.46
1537739.06,26.2,0.51,202819.07,3.46
1537532.86,26.2,0.51,202794.91,3.46
1537532.86,26.2,0.51,202819.81,3.46
1537514.7,26.2,0.51,202919.77,3.46
1537308.5,26.2,0.51,202904.51,3.46
1537103.55,26.2,0.51,202707.34,3.46
1536897.35,26.2,0.51,202631.95,3.45
1536879.19,26.2,0.51,202810.21,3.46
1536861.03,26.21,0.51,202910.17,3.46
1536861.03,26.21,0.51,202910.17,3.46
1536654.83,26.21,0.51,202913.08,3.46
1536339.29,26.2,0.51,202603.13,3.46
1536133.09,26.21,0.51,202528.0,3.45
1535926.89,26.21,0.51,202522.46,3.46
1535926.89,26.21,0.51,202522.46,3.46
1535632.15,26.2,0.5,202275.72,3.45
1535425.96,26.2,0.5,202272.41,3.45
1535161.4,26.2,0.5,202827.31,3.46
1535161.4,26.2,0.5,202824.4,3.46
1534955.2,26.2,0.5,202747.03,3.46
1534690.64,26.2,0.5,202387.9,3.46
1534621.11,26.21,0.51,201949.51,3.45
1534414.91,26.21,0.51,201874.38,3.45
1534414.91,26.21,0.51,201874.38,3.45
1534208.71,26.21,0.51,201868.83,3.45
1534002.52,26.21,0.51,201865.67,3.45
1533796.32,26.21,0.51,201788.16,3.45
1533422.6,26.21,0.5,201423.05,3.44
1533216.4,26.21,0.5,201347.76,3.44
1533010.21,26.21,0.5,201342.38,3.44
1532992.05,26.21,0.5,201442.34,3.44
1532832.13,26.21,0.51,201319.72,3.44
1532625.93,26.21,0.51,201322.63,3.44
1532627.89,26.21,0.51,201329.13,3.44
1532627.89,26.21,0.51,201329.13,3.44
1532348.49,26.21,0.51,201286.52,3.44
1532735.82,26.22,0.51,201299.52,3.44
1532529.62,26.22,0.51,201813.66,3.45
1532323.43,26.22,0.51,201810.5,3.45
1532305.27,26.23,0.52,201898.36,3.46
1532365.52,26.23,0.52,202046.88,3.46
1532365.52,26.23,0.52,202046.88,3.46
1532119.29,26.23,0.52,202047.9,3.46
1531913.1,26.23,0.52,202044.74,3.46
1531619.28,26.23,0.52,201693.02,3.45
1531601.12,26.23,0.52,201780.88,3.46
1531394.92,26.23,0.52,201777.72,3.46
