ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
227,498,451700,6212,451700
228,500,452700,6212,452700
228,500,453700,6212,453700
229,502,454700,6212,454700
229,502,455700,6212,455700
230,504,456700,6212,456700
230,504,456700,6212,456700
230,504,456700,6212,456700
230,504,456930,6212,456930
230,504,457930,6212,457930
230,504,457930,6212,457930
230,504,458250,6212,458250
231,506,458720,6212,458720
231,506,459720,6212,459720
232,508,460720,6212,460720
232,508,461720,6212,461720
233,510,462530,6212,462530
233,510,463340,6212,463340
233,510,463820,6212,463820
234,512,464820,6212,464820
234,512,465820,6212,465820
235,514,466820,6212,466820
235,514,466820,6212,466820
235,514,467820,6212,467820
235,514,468820,6212,468820
236,516,469630,6212,469630
236,516,470630,6212,470630
237,518,471100,6212,471100
237,518,472100,6212,472100
238,520,472910,6212,472910
238,520,473720,6212,473720
238,520,474720,6212,474720
239,522,475720,6212,475720
239,522,476720,6212,476720
240,524,477530,6212,477530
240,524,477760,6212,477760
240,524,478760,6212,478760
240,524,478760,6212,478760
241,526,479760,6212,479760
241,526,479980,6212,479980
241,526,480450,6212,480450
242,528,481260,6212,481260
242,528,482260,6212,482260
242,528,483260,6212,483260
243,530,484260,6212,484260
243,530,485070,6212,485070
244,532,485660,6212,485660
244,532,486660,6212,486660
245,540,494660,6212,494660
246,542,495210,6212,495210
246,542,496020,6212,496020
246,542,496020,6212,496020
247,544,497020,6212,497020
247,544,498020,6212,498020
247,544,498020,6212,498020
248,546,499020,6212,499020
248,546,500020,6212,500020
248,546,500250,6212,500250
249,548,501250,6212,501250
249,548,501410,6212,501410
249,548,502410,6212,502410
249,548,503410,6212,503410
249,548,504410,6212,504410
249,548,504880,6212,504880
250,550,505350,6212,505350
250,550,505820,6212,505820
250,550,506820,6212,506820
251,552,507630,6212,507630
251,552,508630,6212,508630
252,556,509630,6212,509630
252,556,509950,6212,509950
252,556,510760,6212,510760
252,556,511080,6212,511080
252,556,511550,6212,511550
252,556,512360,6212,512360
252,556,512830,6212,512830
253,558,513830,6212,513830
253,558,514300,6212,514300
253,558,514300,6212,514300
253,558,514620,6212,514620
254,560,515620,6212,515620
254,560,516620,6212,516620
255,562,517430,6212,517430
255,562,518430,6212,518430
256,564,518900,6212,518900
256,564,519220,6212,519220
256,564,519690,6212,519690
257,566,520500,6212,520500
258,568,520970,6212,520970
258,568,521970,6212,521970
259,570,522970,6212,522970
259,570,523970,6212,523970
259,570,523970,6212,523970
260,572,524620,6212,524620
260,572,525620,6212,525620
261,574,526430,6212,526430
261,574,526430,6212,526430
261,574,527240,6212,527240
262,576,528240,6212,528240
263,584,529240,6212,529240
263,584,529710,6212,529710
263,584,529710,6212,529710
263,584,529710,6212,529710
263,584,530710,6212,530710
264,586,531710,6212,531710
264,586,532710,6212,532710
265,588,533710,6212,533710
265,588,534710,6212,534710
265,588,535030,6212,535030
265,588,536030,6212,536030
266,590,537030,6212,537030
266,590,537030,6212,537030
266,590,537030,6212,537030
266,590,538030,6212,538030
267,592,539030,6212,539030
267,592,539500,6212,539500
267,592,540500,6212,540500
267,592,540500,6212,540500
268,594,541150,6212,541150
268,594,542150,6212,542150
269,596,542620,6212,542620
269,596,542620,6212,542620
269,596,542730,6212,542730
269,596,543200,6212,543200
269,596,544200,6212,544200
269,596,544200,6212,544200
270,598,545200,6212,545200
270,598,546200,6212,546200
271,600,547200,6212,547200
271,600,548200,6212,548200
272,602,549200,6212,549200
272,602,550200,6212,550200
273,604,551200,6212,551200
274,606,551430,6212,551430
274,606,552430,6212,552430
275,608,553430,6212,553430
275,608,554240,6212,554240
276,610,555240,6212,555240
276,610,556240,6212,556240
277,612,556700,6212,556700
277,612,557700,6212,557700
277,612,558160,6212,558160
278,614,559160,6212,559160
278,614,559970,6212,559970
278,614,559970,6212,559970
279,616,560970,6212,560970
279,616,561970,6212,561970
280,618,562970,6212,562970
280,618,563780,6212,563780
280,618,564370,6212,564370
280,618,564840,6212,564840
280,618,565840,6212,565840
281,622,569840,6212,569840
281,622,569840,6212,569840
282,624,570310,6212,570310
282,624,570310,6212,570310
282,624,570630,6212,570630
282,624,571440,6212,571440
283,626,572440,6212,572440
283,626,573440,6212,573440
283,626,573440,6212,573440
284,628,574440,6212,574440
284,628,574670,6212,574670
284,628,575670,6212,575670
285,630,576670,6212,576670
285,630,577670,6212,577670
285,630,577670,6212,577670
286,632,578670,6212,578670
286,632,579140,6212,579140
287,634,579790,6212,579790
287,634,580790,6212,580790
287,634,581790,6212,581790
287,634,581790,6212,581790
288,636,582790,6212,582790
288,636,583260,6212,583260
288,636,583580,6212,583580
288,636,584390,6212,584390
289,638,585200,6212,585200
289,638,585670,6212,585670
290,640,586670,6212,586670
290,640,586670,6212,586670
290,640,587670,6212,587670
291,642,588670,6212,588670
291,642,589670,6212,589670
292,644,590670,6212,590670
292,644,590890,6212,590890
292,644,591890,6212,591890
293,648,592890,6212,592890
293,648,593890,6212,593890
293,648,594700,6212,594700
293,648,594700,6212,594700
293,648,595160,6212,595160
294,650,595380,6212,595380
294,650,596380,6212,596380
294,650,597380,6212,597380
294,650,597850,6212,597850
295,652,598850,6212,598850
295,652,599850,6212,599850
295,652,600850,6212,600850
296,660,608850,6212,608850
296,660,609170,6212,609170
296,660,609720,6212,609720
297,662,610720,6212,610720
297,662,610720,6212,610720
297,662,611720,6212,611720
298,664,612530,6212,612530
298,664,613000,6212,613000
299,666,613810,6212,613810
300,668,614810,6212,614810
300,668,615030,6212,615030
300,668,616030,6212,616030
301,670,616500,6212,616500
301,670,617310,6212,617310
302,672,618310,6212,618310
302,672,619120,6212,619120
302,672,619440,6212,619440
302,672,619440,6212,619440
303,674,620250,6212,620250
303,674,621060,6212,621060
303,674,621060,6212,621060
303,674,621060,6212,621060
304,676,621870,6212,621870
304,676,622870,6212,622870
305,678,623680,6212,623680
305,678,624000,6212,624000
306,680,624810,6212,624810
306,680,625810,6212,625810
307,682,626620,6212,626620
307,682,627620,6212,627620
307,682,628620,6212,628620
307,682,628940,6212,628940
307,682,629940,6212,629940
308,684,630400,6212,630400
308,684,631400,6212,631400
309,686,632210,6212,632210
309,686,633210,6212,633210
309,686,634210,6212,634210
310,688,635210,6212,635210
310,688,635210,6212,635210
310,688,636020,6212,636020
311,690,637020,6212,637020
311,690,637020,6212,637020
311,690,638020,6212,638020
312,692,638830,6212,638830
312,692,639830,6212,639830
313,694,640830,6212,640830
313,694,641830,6212,641830
314,696,642640,6212,642640
314,696,643450,6212,643450
314,696,643670,6212,643670
315,698,644670,6212,644670
315,698,645130,6212,645130
315,698,645940,6212,645940
316,700,646940,6212,646940
316,700,647940,6212,647940
317,702,648940,6212,648940
317,702,649940,6212,649940
318,704,650940,6212,650940
318,704,651940,6212,651940
318,704,651940,6212,651940
318,704,651940,6212,651940
319,706,652940,6212,652940
319,706,653940,6212,653940
320,708,654940,6212,654940
320,708,655940,6212,655940
321,712,656940,6212,656940
321,712,656940,6212,656940
321,712,656940,6212,656940
321,712,657940,6212,657940
321,712,658750,6212,658750
321,712,659750,6212,659750
322,714,660560,6212,660560
322,714,660560,6212,660560
322,714,661560,6212,661560
323,716,662560,6212,662560
323,716,663560,6212,663560
323,716,664560,6212,664560
323,716,664560,6212,664560
323,716,665560,6212,665560
324,718,666370,6212,666370
324,718,667370,6212,667370
325,720,668370,6212,668370
325,720,669370,6212,669370
326,722,670370,6212,670370
326,722,671370,6212,671370
327,724,672020,6212,672020
327,724,673020,6212,673020
328,726,674020,6212,674020
328,726,675020,6212,675020
329,728,675830,6212,675830
329,728,676830,6212,676830
