ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_ratio,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_q124,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_ratio
1728552.04,28.89,0.41,192478.87,3.22
1728524.51,28.89,0.41,192575.0,3.22
1728148.79,28.89,0.41,192359.76,3.22
1727843.95,28.89,0.41,192007.22,3.21
1727550.34,28.89,0.41,192007.51,3.21
1727415.01,28.89,0.41,191982.57,3.21
1727415.01,28.89,0.41,191982.57,3.21
1727279.68,28.89,0.42,192012.8,3.21
1727337.79,28.9,0.42,191987.43,3.21
1727643.59,28.9,0.43,192358.2,3.22
1727349.46,28.9,0.43,191659.64,3.21
1727349.46,28.9,0.43,191677.79,3.21
1727349.46,28.9,0.43,191677.79,3.21
1727034.37,28.9,0.42,191529.63,3.21
1726846.88,28.9,0.42,191502.35,3.21
1726846.88,28.9,0.42,191502.35,3.21
1726552.76,28.9,0.42,190803.79,3.19
1726349.4,28.9,0.42,190821.68,3.19
1725973.68,28.9,0.42,190606.44,3.19
1725652.44,28.9,0.42,190589.58,3.19
1725354.05,28.9,0.42,190590.0,3.19
1725354.05,28.9,0.42,190566.25,3.19
1725330.34,28.9,0.42,191767.33,3.21
1725450.8,28.9,0.43,191752.23,3.21
1725127.24,28.9,0.43,192424.59,3.22
1725127.24,28.9,0.43,192424.59,3.22
1725129.39,28.91,0.43,192778.91,3.23
1725101.86,28.91,0.43,192875.04,3.23
1722543.31,28.9,0.43,192827.21,3.24
1722249.7,28.9,0.43,192828.66,3.24
1721926.14,28.9,0.43,192801.85,3.24
1721618.2,28.9,0.43,192780.71,3.24
1721643.99,28.91,0.44,193020.54,3.24
1721320.43,28.91,0.44,193045.6,3.24
1720935.63,28.9,0.43,192923.79,3.24
1720612.06,28.9,0.43,192904.96,3.24
1720290.83,28.9,0.43,192890.14,3.24
1719987.53,28.9,0.43,193015.37,3.24
1719770.49,28.9,0.43,193011.88,3.24
1719555.0,28.9,0.43,192948.37,3.24
1719347.46,28.9,0.43,192658.32,3.24
1719039.52,28.9,0.43,192637.18,3.24
1718715.18,28.9,0.43,192695.69,3.24
1718579.85,28.9,0.43,192788.42,3.24
1718442.97,28.9,0.44,192991.42,3.25
1718602.69,28.91,0.44,193262.9,3.25
1718299.4,28.91,0.44,193388.12,3.25
1718031.23,28.91,0.44,193384.18,3.25
1717814.18,28.91,0.44,193378.89,3.25
1717516.05,28.91,0.44,193354.11,3.25
1717516.05,28.91,0.44,194369.92,3.27
1717634.61,28.91,0.45,194302.12,3.27
1717785.16,28.92,0.45,194496.67,3.27
1717818.82,28.92,0.46,194500.72,3.27
1717818.82,28.92,0.46,194500.72,3.27
1717495.25,28.92,0.46,194472.62,3.27
1717171.69,28.92,0.46,194499.55,3.28
1717036.36,28.92,0.46,194486.02,3.28
1716843.94,28.92,0.46,193752.93,3.26
1716522.7,28.92,0.46,193733.57,3.26
1716307.21,28.92,0.46,193670.51,3.26
1715982.87,28.92,0.46,193880.96,3.27
1715847.54,28.92,0.46,194126.57,3.27
1715522.42,28.92,0.46,194224.62,3.27
1712963.87,28.92,0.46,194176.79,3.28
1712934.79,28.92,0.46,194354.51,3.28
1712649.7,28.92,0.46,194406.55,3.28
1712768.56,28.93,0.47,195158.18,3.3
1712451.19,28.93,0.47,194955.19,3.29
1712166.1,28.93,0.47,195006.79,3.29
1712325.82,28.93,0.47,195278.26,3.3
